effective_date,ticker,action,primary_source,secondary_source,agreement,confidence,note
2008-03-31,CBH,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-03-31,CCTYQ,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-03-31,HCP,ADD,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2008-03-31,PM,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-06-02,BSC,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-06-02,ISRG,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-06-06,SWN,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-06-06,TT,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-06-11,ABKFQ,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-06-11,LO,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-06-23,BC,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-06-23,COG,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-06-23,MEE,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-06-23,OMX,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-07-01,AKS,ADD,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2008-07-01,CFC,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-07-01,SNI,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-07-01,SSP,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-07-18,MA,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-07-31,CCU,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-07-31,DVA,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-08-21,IAC,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-08-21,IVZ,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-08-26,EDS,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-08-27,CF,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-09-11,FMCC,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-09-11,FNMA,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-09-15,CRM,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-09-15,FAST,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-09-17,LEHMQ,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-09-22,HRS,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-09-23,SAF,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-09-24,PXD,ADD,qzzcl,leandroloi,True,CONFIRMED,
