date,Q1,Q2,Q3,Q4,Q5,horizon
2006-06-09,-0.02977041295929348,-0.015535602229411874,-0.013668667910263412,-0.008021132450039806,-0.002708121650118101,10
2006-06-12,-0.001513692415846748,0.010947905950827884,0.0153018248584424,0.03438563281022197,0.04971400794921218,10
2006-06-13,0.0006208541927701038,0.0076010629508815025,0.019561034604432297,0.031214690112638367,0.060150304083383455,10
2006-06-14,-0.00189041884353047,0.008139156886790531,0.012982177552979089,0.02631333071788396,0.04544421075866588,10
2006-06-15,-0.0030087124589334388,0.010169794061917497,0.016623640236147777,0.023942555416277257,0.03617084727354351,10
2006-06-16,0.01059671194911884,0.020424472579463684,0.02980856225130779,0.03935068571073883,0.06312582434136985,10
2006-06-19,0.030563831507129352,0.043151073856673314,0.05044679288178887,0.06498791878793443,0.09358476480097926,10
2006-06-20,0.024006977442176256,0.03226116042346381,0.04295293993143433,0.05445290622473585,0.07495685745842208,10
2006-06-21,0.013173189031186347,0.020865326644345813,0.02911179345844213,0.031689665666774294,0.04709819791843229,10
2006-06-22,0.00666085802888348,0.011082797464940853,0.019095531398990076,0.020091477426901302,0.027966514549655135,10
2006-06-23,0.002748442096787386,0.009468715080440213,0.015999277504176266,0.011340363090788109,0.008039268258801758,10
2006-06-26,0.0015054505295947344,0.007597624334678729,0.009611069356548783,0.009791094749574458,0.011024609583113907,10
2006-06-27,0.0009210827393818855,0.003922859701147747,0.0062399456391634585,0.01239251925676492,0.008582564009062457,10
2006-06-28,-0.017418434297814353,-0.0139956433786157,-0.017610693667939645,-0.00868724528782697,-0.019426251648975473,10
2006-06-29,-0.05225648201559669,-0.045227359966883644,-0.05332698946066489,-0.05057260332147657,-0.07182446078192481,10
2006-06-30,-0.06678964442371242,-0.05194600030747279,-0.06042621736865668,-0.06635614327361815,-0.09499006626003968,10
2006-07-03,-0.06966838198590652,-0.05743355721117751,-0.061814109201486875,-0.07114074715076389,-0.10117445074621036,10
