date,horizon,ic
2006-03-28,10,0.025130849477295446
2006-03-29,10,0.03521757798522148
2006-03-30,10,0.07035979170340273
2006-03-31,10,0.04350376183760806
2006-04-03,10,0.0702980042221924
2006-04-04,10,0.0721651089579632
2006-04-05,10,0.05497464247104294
2006-04-06,10,0.04317541331914877
2006-04-07,10,0.08679828021901481
2006-04-10,10,0.11112220913826318
2006-04-11,10,0.12683984547237326
2006-04-12,10,0.038535590209488615
2006-04-13,10,0.027076511811665552
2006-04-17,10,0.04166206952882568
2006-04-18,10,0.028634081527075854
2006-04-19,10,0.01435273791085052
2006-04-20,10,0.0607955621771336
2006-04-21,10,0.04339498945924462
2006-04-24,10,0.02743461213280325
2006-04-25,10,0.06166736396227005
2006-04-26,10,0.08243922327896386
2006-04-27,10,0.08220283397990383
2006-04-28,10,0.017002888284625546
2006-05-01,10,-0.10576768525515891
2006-05-02,10,-0.11344359060034022
2006-05-03,10,-0.1748308178229985
2006-05-04,10,-0.2506623226245508
2006-05-05,10,-0.20893205065958323
2006-05-08,10,-0.2518852045258797
2006-05-09,10,-0.2583512158845595
2006-05-10,10,-0.28818305670297956
2006-05-11,10,-0.22974971097839267
2006-05-12,10,-0.14571878621159953
2006-05-15,10,-0.10363799989161036
2006-05-16,10,-0.08462345027095337
2006-05-17,10,0.005878795806863792
2006-05-18,10,0.11024697980658765
2006-05-19,10,0.0678995859563917
2006-05-22,10,0.1065118682314493
2006-05-23,10,0.016823405838461314
2006-05-24,10,0.0359664358901906
2006-05-25,10,-0.02955131208716194
2006-05-26,10,-0.11960182802519247
2006-05-30,10,-0.1466441822598067
2006-05-31,10,-0.1697255000011641
2006-06-01,10,-0.13917160212051363
2006-06-02,10,-0.14798584678637935
2006-06-05,10,-0.12686558136458298
2006-06-06,10,-0.09828386635082233
2006-06-07,10,-0.03808592840276611
2006-06-08,10,0.0229560363119657
2006-06-09,10,0.05807961514563678
2006-06-12,10,0.11576075920476261
2006-06-13,10,0.16495949014219277
2006-06-14,10,0.16978937988663792
2006-06-15,10,0.15078286461693652
2006-06-16,10,0.17011440869109903
2006-06-19,10,0.16060985777576162
2006-06-20,10,0.13251584527772772
2006-06-21,10,0.12720192553259194
2006-06-22,10,0.10017082036353986
2006-06-23,10,0.08510144884401429
2006-06-26,10,0.11875157209822251
