formation_date,entry_date,exit_date,n_holdings,gross_return,net_return,turnover,cost,median_marketcap,median_adv_proxy
2005-01-26,2005-01-27,2005-02-25,327,0.03419591549437418,0.033720231603796676,0.4756838905775076,0.00047568389057750765,780.1500000000001,
2005-02-24,2005-02-25,2005-03-28,337,-0.014320113033014831,-0.014797857840136493,0.47774480712166173,0.0004777448071216617,1018.7,
2005-03-24,2005-03-28,2005-04-25,343,-0.045280546356461136,-0.04568715555186344,0.40660919540229884,0.0004066091954022989,1032.9,
2005-04-22,2005-04-25,2005-05-23,347,0.03289155848389467,0.032480383698794385,0.41117478510028654,0.0004111747851002866,981.2,
2005-05-20,2005-05-23,2005-06-21,345,0.05177916755754748,0.05133074348877957,0.4484240687679083,0.0004484240687679083,876.4000000000001,
2005-06-20,2005-06-21,2005-07-20,345,0.05195442396528409,0.05152051591930708,0.4339080459770115,0.00043390804597701147,861.25,
2005-07-19,2005-07-20,2005-08-17,340,-0.023894395125911367,-0.024280233276200384,0.38583815028901736,0.00038583815028901734,781.5,
2005-08-16,2005-08-17,2005-09-15,342,0.03890936525110905,0.03841081452647137,0.4985507246376812,0.0004985507246376812,727.0,
2005-09-14,2005-09-15,2005-10-13,344,-0.06750624203451341,-0.06790942122526486,0.4031791907514451,0.0004031791907514451,766.35,
2005-10-12,2005-10-13,2005-11-10,343,0.05934067474351704,0.05895772676663843,0.3829479768786127,0.00038294797687861274,791.4,
2005-11-09,2005-11-10,2005-12-09,344,0.04927791180450703,0.04881105301488167,0.4668587896253602,0.00046685878962536017,833.95,
2005-12-08,2005-12-09,2006-01-10,342,0.0341579206366752,0.03376310795655993,0.39481268011527376,0.00039481268011527375,906.05,
2006-01-09,2006-01-10,2006-02-08,346,0.04470081834756763,0.04428271489929177,0.41810344827586204,0.00041810344827586203,969.95,
2006-02-07,2006-02-08,2006-03-09,342,-0.0015591935861911485,-0.0019844809425129876,0.42528735632183906,0.000425287356321839,794.05,
2006-03-08,2006-03-09,2006-04-06,344,0.09217253425771793,0.09175299402783288,0.41954022988505746,0.0004195402298850574,946.3,
2006-04-05,2006-04-06,2006-05-05,349,0.024584501866645493,0.024200979139372764,0.3835227272727273,0.0003835227272727273,952.85,
2006-05-04,2006-05-05,2006-06-05,354,-0.07359796309848333,-0.07405594629176064,0.4579831932773109,0.0004579831932773109,932.7,
2006-06-02,2006-06-05,2006-07-03,357,-0.03118183528209706,-0.031574890837652615,0.39305555555555555,0.00039305555555555556,874.1,
2006-06-30,2006-07-03,2006-08-01,359,-0.0527648892718565,-0.053173980180947406,0.4090909090909091,0.0004090909090909091,978.45,
2006-07-31,2006-08-01,2006-08-29,358,0.0029376257056675675,0.002432116063794289,0.5055096418732782,0.0005055096418732782,1005.4,
2006-08-28,2006-08-29,2006-09-27,360,0.013953273033734087,0.013508521652518618,0.4447513812154696,0.00044475138121546963,1013.1,
2006-09-26,2006-09-27,2006-10-25,358,0.04434352604619193,0.043883581294810715,0.4599447513812155,0.0004599447513812155,809.1,
2006-10-24,2006-10-25,2006-11-22,358,0.039315598191039185,0.038815598191039184,0.5,0.0005,869.25,
2006-11-21,2006-11-22,2006-12-21,352,-0.004553698435536753,-0.0050439762133145305,0.49027777777777776,0.0004902777777777777,956.6,
2006-12-20,2006-12-21,2007-01-24,354,0.005242088549760376,0.004804762644467897,0.4373259052924791,0.0004373259052924791,868.6,
2007-01-23,2007-01-24,2007-02-22,349,0.07147539106746603,0.0710656688452438,0.4097222222222222,0.00040972222222222224,998.95,
2007-02-21,2007-02-22,2007-03-22,362,-0.00919828041653101,-0.009712092571227144,0.5138121546961326,0.0005138121546961326,1028.65,
2007-03-21,2007-03-22,2007-04-20,358,0.03742273703388771,0.03702684662292881,0.3958904109589041,0.0003958904109589041,1000.3,
2007-04-19,2007-04-20,2007-05-18,356,0.011209887009498265,0.010829065091690045,0.38082191780821917,0.0003808219178082192,1036.15,
2007-05-17,2007-05-18,2007-06-18,359,0.05592232302321061,0.05545920826911225,0.46311475409836067,0.00046311475409836067,1156.5500000000002,
2007-06-15,2007-06-18,2007-07-17,361,0.03242885926175968,0.032035416638808864,0.39344262295081966,0.00039344262295081965,1012.9,
2007-07-16,2007-07-17,2007-08-14,360,-0.08453204199391702,-0.08489742660930163,0.36538461538461536,0.0003653846153846154,1140.45,
2007-08-13,2007-08-14,2007-09-12,361,0.008182617297654808,0.007690814018966284,0.4918032786885246,0.0004918032786885246,1024.5500000000002,
2007-09-11,2007-09-12,2007-10-10,360,0.10053969075204194,0.10018996397608566,0.34972677595628415,0.00034972677595628416,1175.8,
2007-10-09,2007-10-10,2007-11-07,359,-0.035780884684393575,-0.036103289055978274,0.3224043715846995,0.0003224043715846995,1320.05,
2007-11-06,2007-11-07,2007-12-06,359,-0.048703587318501045,-0.04919675671740815,0.4931693989071038,0.0004931693989071039,1414.75,
