strategy,rebalance_date,period_end,symbol,rank,score,target_weight,holding_return,gross_return_contribution,actual_start_weight,ending_weight
Market-Residual Momentum,2022-02-01 00:00:00-05:00,2022-03-01 00:00:00-05:00,JNJ,3,-0.004235727091141395,0.2,-0.04456415961031912,-0.008912831922063824,0.20002112278095902,0.19798338868831541
Market-Residual Momentum,2022-02-01 00:00:00-05:00,2022-03-01 00:00:00-05:00,VZ,4,-0.004468778250847905,0.2,0.0018726990095587759,0.0003745398019117552,0.20002112278095902,0.20632930105260724
Market-Residual Momentum,2022-02-01 00:00:00-05:00,2022-03-01 00:00:00-05:00,HON,5,-0.0044826908074764305,0.2,-0.07969523210956131,-0.015939046421912264,0.20002112278095902,0.19149385177177208
Market-Residual Momentum,2022-03-01 00:00:00-05:00,2022-04-01 00:00:00-04:00,MCD,1,-0.003449564078675693,0.2,0.02401955663401445,0.00480391132680289,0.20002097001878996,0.2018973625698848
Market-Residual Momentum,2022-03-01 00:00:00-05:00,2022-04-01 00:00:00-04:00,JNJ,2,-0.004823190361303409,0.2,0.08592997783295853,0.017185995566591707,0.20002097001878996,0.215049418281469
Market-Residual Momentum,2022-03-01 00:00:00-05:00,2022-04-01 00:00:00-04:00,PG,3,-0.00485655107391425,0.2,-0.005119102198015035,-0.0010238204396030071,0.20002097001878996,0.1958955413633401
Market-Residual Momentum,2022-03-01 00:00:00-05:00,2022-04-01 00:00:00-04:00,KO,4,-0.004971380805935288,0.2,0.01073594585597104,0.0021471891711942084,0.20002097001878996,0.19889664703022855
Market-Residual Momentum,2022-03-01 00:00:00-05:00,2022-04-01 00:00:00-04:00,VZ,5,-0.005619984268620981,0.2,-0.04635514551034703,-0.009271029102069407,0.20002097001878996,0.1883650599870206
Market-Residual Momentum,2022-04-01 00:00:00-04:00,2022-05-02 00:00:00-04:00,MCD,1,-0.0051828072581832085,0.2,0.011043044696576576,0.002208608939315315,0.20003587325365052,0.2029923176085429
Market-Residual Momentum,2022-04-01 00:00:00-04:00,2022-05-02 00:00:00-04:00,HON,2,-0.006220665934673741,0.2,-0.0042188893485222145,-0.000843777869704443,0.20003587325365058,0.20027791216723514
