date,n,observations,max_risk_contribution,top2_risk_contribution,risk_hhi,average_pairwise_correlation,maximum_pairwise_correlation,ex_ante_volatility
2023-08-01 00:00:00-04:00,5,60,0.37142560572173694,0.5532229380144258,0.2377350625929157,0.12583432037293746,0.29679942698601436,0.17108581366485423
2023-09-01 00:00:00-04:00,5,60,0.34003264569494895,0.5150032607221282,0.2250405783075463,0.28708549220356777,0.47776186921121105,0.18346420040150288
2023-10-02 00:00:00-04:00,5,60,0.33839198176500035,0.5439260263518543,0.23017205825623163,0.3194829809458761,0.4937984331267063,0.16636587927292001
2023-11-01 00:00:00-04:00,5,60,0.3627098138371354,0.5808413411561559,0.24675069559693025,0.35123459941081964,0.5798344396007927,0.16334342390581721
2023-12-01 00:00:00-05:00,5,60,0.32543466945026345,0.5788946739136931,0.23372257370472638,0.29662940594941684,0.6491143174054415,0.16466218265600244
2024-01-02 00:00:00-05:00,5,60,0.32317591417219493,0.5740021583160984,0.23798333932346868,0.21554517269088763,0.41829148700327623,0.16286005792690003
2024-02-01 00:00:00-05:00,5,60,0.35630076008028927,0.5716723450693493,0.240652828280734,0.22351037600626805,0.3465804795385578,0.1717592176933537
2024-03-01 00:00:00-05:00,5,60,0.2945865006021523,0.5076430290813951,0.21926763789264556,0.24333744513249767,0.36861525566804054,0.1689596833107641
2024-04-01 00:00:00-04:00,5,60,0.2891226085538034,0.5224092581251499,0.22123336683571382,0.32436994666692126,0.5425924040987715,0.14375009104441472
2024-05-01 00:00:00-04:00,5,60,0.23991174359695638,0.47925007704684863,0.20720897153673817,0.23365303435204776,0.4137648677211784,0.14504957731912171
2024-06-03 00:00:00-04:00,5,60,0.24762814648556913,0.487656083819507,0.2106143879067426,0.26724134049855114,0.5616954825953522,0.13918383825834293
2024-07-01 00:00:00-04:00,5,60,0.28213015543506076,0.5229736950001189,0.22384239747751025,0.19410235927851754,0.49878345741565744,0.12712028072501558
2024-08-01 00:00:00-04:00,5,60,0.40754329251213905,0.558347698836126,0.2538756629267829,0.3725982589629827,0.6316805353172865,0.1815203750903151
