date,symbol,capital_weight,standalone_vol,variance_contribution,absolute_risk_share,risk_to_capital
2021-12-01 00:00:00-05:00,MSFT,0.2,0.2088056825484675,0.21422938783624224,0.21422938783624224,1.0711469391812112
2021-12-01 00:00:00-05:00,CRM,0.2,0.2680862447368334,0.22457282297205475,0.22457282297205475,1.1228641148602736
2021-12-01 00:00:00-05:00,AAPL,0.2,0.2184474843883724,0.19017958514676264,0.19017958514676264,0.9508979257338132
2021-12-01 00:00:00-05:00,UNH,0.2,0.22096635418066368,0.19593143296551696,0.19593143296551696,0.9796571648275848
2022-01-03 00:00:00-05:00,AAPL,0.2,0.23824563624722445,0.22374742899463063,0.22374742899463063,1.1187371449731531
2022-01-03 00:00:00-05:00,UNH,0.2,0.20365784067041373,0.1559203288321728,0.1559203288321728,0.779601644160864
2022-01-03 00:00:00-05:00,MSFT,0.2,0.22093148735378676,0.22250544610699333,0.22250544610699333,1.1125272305349665
2022-01-03 00:00:00-05:00,HD,0.2,0.21539216556664526,0.19352578687851263,0.19352578687851263,0.9676289343925631
2022-01-03 00:00:00-05:00,NKE,0.2,0.24901431886464423,0.20430100918769062,0.20430100918769062,1.021505045938453
2022-02-01 00:00:00-05:00,AAPL,0.2,0.2979990106872794,0.3060404753734119,0.30604047537341195,1.5302023768670594
2022-02-01 00:00:00-05:00,CVX,0.2,0.22173568139426006,0.10222853981757013,0.10222853981757014,0.5111426990878506
2022-02-01 00:00:00-05:00,MSFT,0.2,0.259566315692256,0.2939472510990988,0.29394725109909886,1.469736255495494
2022-02-01 00:00:00-05:00,PG,0.2,0.1624093834260725,0.08676271682068674,0.08676271682068676,0.4338135841034337
2022-02-01 00:00:00-05:00,UNH,0.2,0.20690314198635307,0.21102101688923233,0.21102101688923236,1.0551050844461616
2022-03-01 00:00:00-05:00,CVX,0.2,0.23635362680914962,0.11865037234126045,0.11865037234126045,0.5932518617063023
2022-03-01 00:00:00-05:00,AAPL,0.2,0.29850101259943057,0.28415864426408577,0.28415864426408577,1.4207932213204288
2022-03-01 00:00:00-05:00,AXP,0.2,0.3253851812163066,0.2743637641116475,0.2743637641116475,1.3718188205582373
2022-03-01 00:00:00-05:00,MSFT,0.2,0.3103770481346872,0.2613190325331619,0.2613190325331619,1.3065951626658094
2022-03-01 00:00:00-05:00,PG,0.2,0.19517974619415773,0.061508186749844374,0.061508186749844374,0.30754093374922187
2022-04-01 00:00:00-04:00,CVX,0.2,0.3015152911482644,0.07395492110148719,0.07395492110148719,0.3697746055074359
2022-04-01 00:00:00-04:00,AAPL,0.2,0.3036001606247381,0.2774205271147469,0.2774205271147469,1.3871026355737344
2022-04-01 00:00:00-04:00,UNH,0.2,0.24621370844863666,0.27468858595514045,0.27468858595514045,1.3734429297757023
2022-04-01 00:00:00-04:00,TRV,0.2,0.23285839874445208,0.22082468526856505,0.22082468526856505,1.1041234263428252
2022-04-01 00:00:00-04:00,KO,0.2,0.18617768221274678,0.1531112805600604,0.1531112805600604,0.765556402800302
2022-05-02 00:00:00-04:00,CVX,0.2,0.3243472107397546,0.20305369232551834,0.20305369232551834,1.0152684616275915
2022-05-02 00:00:00-04:00,UNH,0.2,0.2522971878858791,0.25058006758390233,0.25058006758390233,1.2529003379195116
2022-05-02 00:00:00-04:00,MRK,0.2,0.2088308685152791,0.18983153229097702,0.18983153229097702,0.949157661454885
2022-05-02 00:00:00-04:00,TRV,0.2,0.22687963796681207,0.20850573658777377,0.20850573658777377,1.0425286829388687
2022-05-02 00:00:00-04:00,KO,0.2,0.19893928520281517,0.14802897121182856,0.14802897121182856,0.7401448560591428
2022-06-01 00:00:00-04:00,CVX,0.2,0.34569050801758594,0.25534329749549217,0.2553432974954921,1.2767164874774608
