strategy,rebalance_date,next_rebalance_date,symbol,rank,score,qualifies_absolute_filter,selected_by_canonical,universe_size,rank_percentile_from_top,forward_return,forward_mfe,forward_mae,spy_forward_return,universe_median_forward_return,universe_top_quartile_threshold,beat_spy,beat_universe_median,future_top_quartile
Market-Residual Momentum,2025-04-01 00:00:00-04:00,2025-05-01 00:00:00-04:00,NKE,26,-0.022218863838691538,True,False,29,0.8928571428571429,-0.11201637630274486,0.024596462379960382,-0.18094945995730993,0.005238186997322369,-0.0265694460325675,0.004464210963665227,False,False,False
Market-Residual Momentum,2025-04-01 00:00:00-04:00,2025-05-01 00:00:00-04:00,BA,27,-0.02503050944777807,True,False,29,0.9285714285714286,0.07558827119715072,0.08547058105468741,-0.24188232421875,0.005238186997322369,-0.0265694460325675,0.004464210963665227,True,True,True
Market-Residual Momentum,2025-04-01 00:00:00-04:00,2025-05-01 00:00:00-04:00,UNH,28,-0.025462748689154435,True,False,29,0.9642857142857143,-0.21763607965499643,0.1533458253301947,-0.23726550737374796,0.005238186997322369,-0.0265694460325675,0.004464210963665227,False,False,False
Market-Residual Momentum,2025-04-01 00:00:00-04:00,2025-05-01 00:00:00-04:00,INTC,29,-0.06627877095637036,True,False,29,1.0,-0.10372341347438696,0.0593971712903103,-0.2167552972255432,0.005238186997322369,-0.0265694460325675,0.004464210963665227,False,False,False
Market-Residual Momentum,2025-05-01 00:00:00-04:00,2025-06-02 00:00:00-04:00,CSCO,1,-0.004219937226668025,True,True,29,0.0,0.08566983287154639,0.13793705112276022,-0.0017306762934187203,0.04887824673712604,0.04454472323308711,0.07507397326269905,True,True,True
Market-Residual Momentum,2025-05-01 00:00:00-04:00,2025-06-02 00:00:00-04:00,V,2,-0.006091308766164261,True,True,29,0.03571428571428571,0.05148580141545267,0.0699781990135484,-0.015799501323078946,0.04887824673712604,0.04454472323308711,0.07507397326269905,True,True,False
Market-Residual Momentum,2025-05-01 00:00:00-04:00,2025-06-02 00:00:00-04:00,AXP,3,-0.007969256219021337,True,True,29,0.07142857142857142,0.09085833111189179,0.13291037494537483,-0.005522429053463229,0.04887824673712604,0.04454472323308711,0.07507397326269905,True,True,True
Market-Residual Momentum,2025-05-01 00:00:00-04:00,2025-06-02 00:00:00-04:00,MSFT,4,-0.008278031920990303,True,True,29,0.10714285714285714,0.06432566745875623,0.07489576201952364,-0.014404656969413399,0.04887824673712604,0.04454472323308711,0.07507397326269905,True,True,False
Market-Residual Momentum,2025-05-01 00:00:00-04:00,2025-06-02 00:00:00-04:00,KO,5,-0.009362091697665886,True,True,29,0.14285714285714285,0.00041685695195115,0.009583563059887945,-0.04749982908182693,0.04887824673712604,0.04454472323308711,0.07507397326269905,False,False,False
Market-Residual Momentum,2025-05-01 00:00:00-04:00,2025-06-02 00:00:00-04:00,PG,6,-0.010396050906661403,True,False,29,0.17857142857142858,0.052035312222888264,0.06429720116123683,-0.024710749628547246,0.04887824673712604,0.04454472323308711,0.07507397326269905,True,True,False
