strategy,rebalance_date,next_rebalance_date,outgoing_symbol,incoming_symbol,outgoing_prior_rank,outgoing_current_rank,incoming_current_rank,rank_gap,outgoing_rank_deterioration,outgoing_score,incoming_score,score_spread,score_percentile_spread,outgoing_return_20d,incoming_return_20d,outgoing_return_60d,incoming_return_60d,outgoing_acceleration,incoming_acceleration,outgoing_unrealized_return,outgoing_holding_sessions,outgoing_mfe_to_date,outgoing_mae_to_date,outgoing_giveback,outgoing_recovery_from_mae,outgoing_currently_profitable,incoming_drawdown_from_60d_high,incoming_distance_from_189d_high,outgoing_subsequent_return,incoming_subsequent_return,replacement_advantage,outgoing_future_mfe,outgoing_future_mae,outgoing_future_max_drawdown,incoming_future_mfe,incoming_future_mae,incoming_future_max_drawdown
Dual Momentum,2023-05-01,2023-06-01,AAPL,JPM,5,13,3,10,8,0.08330097502625122,0.23342757433330563,0.1501265993070544,0.3571428571428572,0.045084741391784755,0.08213528817286919,0.16852827559515604,-0.0018987464765835016,-0.011091350473267259,0.0827682036650637,0.03293349661422096,19,0.03293349661422096,-0.02538504815381093,0.0,0.05831854476803189,True,-0.03111995728439354,-0.03111995728439354,0.05119213276123791,-0.04034873575877218,-0.09154086852001009,0.06095279973045442,-0.029359523147049815,-0.022406874018781386,0.007802619522090604,-0.07345708183940425,-0.057359969692538426
Dual Momentum,2023-05-01,2023-06-01,CSCO,TRV,3,19,5,14,16,0.061617442200990746,0.18172036763152333,0.12010292543053258,0.5000000000000001,-0.07437465632676998,0.06041438403497934,-0.01986997917271116,-0.016937756186934827,-0.06775132993586626,0.06606030276395762,-0.08557598577752412,19,0.004802151237135011,-0.09931629667018549,0.09037813701465913,0.013740310892661367,False,-0.03659797152864308,-0.060991110690272965,0.05423722727333824,-0.05702539354903302,-0.11126262082237126,0.06970359057759978,-0.0347457404307876,-0.034642986233234696,0.030509813481105263,-0.06251722081680733,-0.07896579842523488
Dual Momentum,2023-06-01,2023-07-03,CAT,CRM,4,11,1,10,7,0.09106373421546854,0.39429477822134085,0.3032310440058723,0.3571428571428572,-0.0436903781224206,0.15239360126078472,-0.1854993785429856,0.21534256214745984,0.018142748058574597,0.08061274721163143,-0.17828459176277256,83,0.014141014348014735,-0.17828459176277256,0.1924256061107873,0.0,False,0.0,0.0,0.1842738450327568,0.011286083742917619,-0.17298776128983917,0.20806057237069453,-0.007896761592286361,-0.05341778546103648,0.05844782330914233,-0.016521006185165055,-0.044291812135293984
Dual Momentum,2023-06-01,2023-07-03,TRV,MSFT,5,12,3,9,7,0.03985599027332398,0.24510913834253256,0.20525314806920858,0.3214285714285714,-0.06253794794723411,0.07556913989064307,-0.07210207995698636,0.2788162674375003,-0.03850392129490532,-0.01736961592185704,-0.0611858538537855,22,0.019304326094568003,-0.0611858538537855,0.0804901799483535,0.0,False,-0.015371428163878265,-0.015371428163878265,0.019624591757519516,0.04068371128056114,0.021059119523041625,0.052933705552406174,-0.010548547496045724,-0.0474115585196756,0.0783603368409056,-0.010523572150948013,-0.05779204537999727
Dual Momentum,2023-07-03,2023-08-01,MRK,CAT,2,6,2,4,4,0.35680483619590375,0.49158665010583236,0.1347818139099286,0.1428571428571429,0.04715538032549871,0.17687851932140153,0.06736159966277122,0.13766659586816798,0.024701513771241634,0.1309896540320122,0.0031170542699738846,43,0.022279776657412764,-0.0620898286924938,0.01916272238743888,0.06520688296246768,True,-0.00654095200380711,-0.0648461006085338,-0.04254386570190605,0.11445702252524526,0.1570008882271513,0.0013104003169328582,-0.08124408997726862,-0.0803705120492324,0.08442507005335598,-0.02890828894311248,-0.027291444085944083
Dual Momentum,2023-08-01,2023-09-01,JPM,INTC,5,7,5,2,2,0.30107945318660656,0.35410214035252907,0.05302268716592251,0.07142857142857151,0.09354207776471446,0.06967710109177228,0.1696189255472198,0.1718264768476252,0.037002435915641195,0.012401608809230545,0.1179864823041592,63,0.11826993301601973,-0.057359969692538426,0.0002834507118605334,0.17534645199669763,True,-0.02878089111672355,-0.02878089111672355,-0.07203230135272587,0.002757182168205974,0.07478948352093184,0.0036207034919493175,-0.07603380316562491,-0.07203230135272587,0.005583494266985012,-0.10286999572247746,-0.08717997233754204
Dual Momentum,2023-09-01,2023-10-02,CAT,AAPL,4,7,3,4,3,0.21389287859399886,0.33648463343761503,0.12259175484361617,0.1428571428571429,-0.0011371940023562344,-0.01593523029390842,0.24634831165354498,0.04973872638325605,-0.08325329788687123,-0.03251480575499377,0.1486977892878485,43,0.17942442804695213,-0.021833657652235106,0.03072663875910364,0.1705314469400836,True,-0.042383926166425834,-0.042383926166425834,-0.04269648435461948,-0.09641673720157162,-0.05372025284695214,0.016186875404547107,-0.054950567189582245,-0.058445197744133814,0.0025858273783734287,-0.11541506333377927,-0.10158136014549157
Dual Momentum,2023-10-02,2023-11-01,BA,CSCO,4,14,5,9,10,0.01751771795006385,0.16869753463910997,0.15117981668904612,0.3214285714285715,-0.1444003315617799,-0.06259818877284529,-0.09848557483911602,0.05184876942725247,-0.11157180661540789,-0.07988111191526277,-0.09631798536505809,167,0.1260666890585973,-0.10221115398701419,0.2223846744236554,0.005893168621956102,False,-0.07053946025990743,-0.07053946025990743,-0.009296489099851812,-0.026451586224747192,-0.01715509712489538,0.042565382799000684,-0.07949026543933313,-0.09353807778643519,0.021252863655405463,-0.04422397498887276,-0.05151401685805934
Dual Momentum,2023-11-01,2023-12-01,CSCO,WMT,5,7,5,2,2,0.0951726472113088,0.1488744543740983,0.053701807162789494,0.07142857142857151,-0.028331763506527774,0.02715453087633679,-0.009498320142109162,0.021813941673103354,-0.025165656792491387,0.01988321698530234,-0.024768054811727835,22,0.013208550744506109,-0.038985891619276236,0.037976605556233944,0.0142178368075484,False,-0.011134609499749981,-0.011134609499749981,-0.07225232745274046,-0.0537727105366157,0.018479616916124764,0.02805536193361169,-0.11222148459084968,-0.10377178151380351,0.03489429977119074,-0.06138479182915768,-0.08899738584860684
Dual Momentum,2023-12-01,2024-01-02,WMT,IBM,5,10,5,5,5,0.12085278871607019,0.27522967528153064,0.15437688656546045,0.1785714285714286,-0.055680234306485055,0.10287658458832838,-0.03579612924654729,0.0830627111056852,-0.043748191224302624,0.07518901421976665,-0.0518847620906866,21,0.03391993865743159,-0.0580962330598318,0.08580470074811819,0.006211470969145205,False,0.0,0.0,0.015793897221504816,0.027902151606054915,0.012108254384550099,0.02277041309660044,-0.03401072680284989,-0.0276740603773471,0.050060078760245874,-0.002588243498712006,-0.028292236424405703
Dual Momentum,2024-01-02,2024-02-01,IBM,JPM,5,6,2,4,1,0.31241014829055413,0.35057067505595363,0.038160526765399494,0.1428571428571429,0.03147078678845672,0.08982596291604383,0.17250190807701782,0.19536202715878814,-0.026029849237215887,0.02470528719644778,0.03244747697176131,20,0.03977038854344639,0.0,0.007322911571685076,0.03244747697176131,True,-0.0011742450874389077,-0.0011742450874389077,0.1277407504344079,0.03324113758379599,-0.09449961285061192,0.2092368219074483,-0.03033818189440407,-0.03570866885617796,0.06097045705567483,-0.02233627128392146,-0.03006899253057005
Dual Momentum,2024-01-02,2024-02-01,AAPL,CAT,4,11,4,7,7,0.19063171723992678,0.33736007223178044,0.14672835499185366,0.2500000000000001,0.013582577496684012,0.17928377380811122,0.11012122335284547,0.12137422935033637,-0.023124496954264474,0.1388256973579991,0.017381660728571058,83,0.04686806502463403,-0.11926751092226862,0.029486404296062974,0.13664917165083967,True,-0.008218158618768068,-0.008218158618768068,-0.0168847062316555,0.03821994929969552,0.05510465553135102,0.049318941551136586,-0.03729623229001511,-0.05733181842396595,0.0468136553844003,-0.05619750067347351,-0.05043802745181547
Dual Momentum,2024-02-01,2024-03-01,MSFT,IBM,5,6,1,5,1,0.3118743763781273,0.5103676059446207,0.1984932295664934,0.1785714285714286,0.07201985463356153,0.13721360759590961,0.14373822999956865,0.26347104005603206,0.024107111300371985,0.04938992757723226,0.2272020144833098,168,0.26467433751692226,-0.04028199220366646,0.037472323033612476,0.26748400668697625,True,-0.03555129258348011,-0.03555129258348011,0.025385191855771705,0.019338169722316056,-0.006047022133455648,0.04529093132940121,-0.011505377138536166,-0.04191236116860175,0.03835219921280464,-0.017700748006587275,-0.04231516166416993
Dual Momentum,2024-02-01,2024-03-01,JPM,AMGN,2,8,5,3,6,0.2602221910724203,0.3491412573965542,0.08891906632413393,0.1071428571428572,0.019497851871012717,0.05672680855927248,0.24052594749678158,0.18808250475933685,-0.060677463961247805,-0.0059673596938398105,0.03752555453458073,21,0.048890802925584564,-0.005734444853788712,0.011365248391003835,0.04325999938836944,True,-0.0011442718365296534,-0.0011442718365296534,0.06945396580855845,-0.1139538758717571,-0.18340784168031554,0.07365794283129867,-0.012727520857149677,-0.00870368013913736,0.04839428065086104,-0.12379176766099131,-0.14970849170256184
Dual Momentum,2024-03-01,2024-04-01,AMGN,AXP,5,9,5,4,4,0.28309181828684915,0.40365349554502794,0.12056167725817879,0.1428571428571429,-0.12183980937067984,0.09305560796919665,0.012922015859134328,0.26685590343744914,-0.12614714799039128,0.004103640156713606,-0.12250998455609052,20,0.03198727363622833,-0.12250998455609052,0.15449725819231885,0.0,False,0.0,0.0,0.020289209023750088,0.03707077556514604,0.016781566541395954,0.04365295188295004,-0.030126404272051377,-0.04088023443634747,0.05644969314240833,-0.014545581333522573,-0.0222002790338639
Dual Momentum,2024-04-01,2024-05-01,AXP,JPM,5,8,3,5,3,0.35558155411344394,0.4749733259913198,0.11939177187787586,0.1785714285714286,0.03769022563098323,0.07653460480750973,0.21302962569928097,0.17117115084067636,-0.033319649602110424,0.01947755452728428,0.03821073043577483,20,0.04473108888484534,-0.009621036633233992,0.006520358449070507,0.047831767069008824,True,0.0,0.0,0.02859041705832177,-0.03299382546972962,-0.06158424252805139,0.060918519486377276,-0.053927992697046956,-0.04145737741552469,0.00475022212184828,-0.09872849119074201,-0.09430257968405242
Dual Momentum,2024-04-01,2024-05-01,INTC,TRV,3,9,5,4,6,0.3287170422838315,0.3892835189114485,0.06056647662761705,0.1428571428571429,0.026016233083673512,0.04628835012400345,-0.0732328864925682,0.20775212758112804,0.05042719524786292,-0.022962359069705895,0.24525485638000788,167,0.42685989742383734,-0.08886121373523215,0.18160504104382946,0.33411607011524,True,0.0,0.0,-0.31880787301537483,-0.07680265172091794,0.2420052212944569,0.02528785072777273,-0.31316324785376326,-0.32232705261489203,0.012793005118618028,-0.11840221123397576,-0.105288149957112
Dual Momentum,2024-05-01,2024-06-03,CRM,AXP,4,10,1,9,6,0.19679698686679892,0.40029110569926685,0.20349411883246793,0.3214285714285714,-0.11532916798276605,0.04090407963560638,-0.057301349947762925,0.1373242740935472,-0.0962287180001784,-0.004870678395576013,0.2933016038530125,230,0.5218518016661224,-0.05748733284771701,0.22855019781310992,0.3507889367007295,True,-0.02128632200114733,-0.02128632200114733,-0.12787151392834317,0.02984308074897668,0.15771459467731985,0.07806120777153125,-0.21195453308701273,-0.2418098756800483,0.04798049153505901,-0.017537230113962243,-0.03134763531967455
Dual Momentum,2024-05-01,2024-06-03,IBM,DIS,2,11,3,8,9,0.1899658449316688,0.2539327010417771,0.06396685611010833,0.2857142857142858,-0.12007608426018368,-0.09542426052189801,-0.09728585040542159,0.14382780351040392,-0.08764746745837648,-0.14336686169203264,-0.08666752477579576,62,0.08687641251312117,-0.08666752477579576,0.17354393728891693,0.0,False,-0.09542426052189801,-0.09542426052189801,0.015107578393017684,-0.06397696099535566,-0.07908453938837334,0.06947747915362301,-0.01852886331538961,-0.046404332032084494,0.05076832631830075,-0.09902060726751927,-0.1357431216088193
Dual Momentum,2024-06-03,2024-07-01,DIS,GS,3,7,2,5,4,0.23693238050066667,0.41924493194921153,0.18231255144854486,0.1785714285714286,-0.07733960856022737,0.061753326595905156,-0.05587853674378096,0.1789478695626836,-0.05871342964563371,0.0021040367416772857,-0.06631316492532724,22,0.04654511453674437,-0.09551618621493274,0.11285827946207161,0.029203021289605502,False,-0.02365446233045143,-0.02365446233045143,-0.04579049193734408,-0.009501442282580208,0.03628904965476387,0.00048001394486663074,-0.0555823658899931,-0.04684661137084034,0.012312943636271667,-0.042975060455887726,-0.0377100498997599
Dual Momentum,2024-06-03,2024-07-01,CAT,MSFT,2,9,5,4,7,0.21521516679925456,0.26978757083893035,0.05457240403967578,0.1428571428571429,0.009181877023744622,0.0453420672594369,0.012287249464035366,0.034292811968799075,0.0050861272023995,0.03391112993650388,0.16323498463477115,105,0.29863079590780583,-0.05043802745181547,0.13539581127303468,0.21367301208658662,True,-0.0371120525966695,-0.0371120525966695,-0.01689777920143465,0.081762204822458,0.09865998402389264,0.0015548413966874897,-0.07340044149397895,-0.056913232712082484,0.09780289233393002,-0.01590736016889427,-0.013379875727447699
Dual Momentum,2024-07-01,2024-08-01,TRV,MMM,4,13,5,8,9,0.22918746338538765,0.3597373555796106,0.13054989219422297,0.2857142857142858,-0.03831906290590692,0.04063130669716197,-0.10788620237552349,0.1041927142666359,-0.0023569954473990906,0.005900401941616673,-0.11079779685454594,63,0.004699360035135713,-0.11079779685454594,0.11549715688968165,0.0,False,-0.02242329597369508,-0.02242329597369508,0.06453978285019324,0.23954901370931858,0.17500923085912534,0.09644385153267887,-0.02239131369285452,-0.07844193008506506,0.25072913142442843,-0.04472097250762286,-0.030818390477985402
Dual Momentum,2024-08-01,2024-09-03,MSFT,CAT,3,13,5,8,10,0.2756793279472267,0.46920443978657267,0.19352511183934595,0.2857142857142858,-0.08911778891714639,0.06056244930938104,0.030601875338200246,0.03224938482177375,-0.0993184140298798,0.04981265436878979,0.006786503986381254,41,0.1273317379602068,-0.004837219386156999,0.12054523397382555,0.011623723372538253,True,-0.04173685825937545,-0.08020795442806927,-0.0050541213367137905,0.017066331481345953,0.022120452818059744,0.01608705718968717,-0.08367599606901799,-0.06093304328525517,0.029338813565936706,-0.11334090370891048,-0.08518611936588993
Dual Momentum,2024-09-03,2024-10-01,CAT,WMT,5,6,4,2,1,0.4452441082757368,0.5044697585490965,0.05922565027335969,0.07142857142857151,0.10979523860494056,0.13131959672287663,0.08529432681650673,0.15442170030250013,0.08136379633277165,0.07984569662204324,0.0282992813311993,22,0.0282992813311993,-0.08518611936588993,0.0,0.11348540069708923,True,0.0,0.0,0.11089968400126549,0.043320639666845295,-0.06757904433442019,0.12779289309743036,-0.0741036738075248,-0.0648761355123667,0.05521781690020733,-0.013319511444887189,-0.0317618240603853
