scale,paths,breachProbability1m,breachProbability3m,breachProbability6m,breachProbability12m,dailyLimitBreachProbability,drawdownBreachProbability,expectedPayout,medianPayout,expectedNetPayout,medianNetPayout,p05NetPayout,probabilityAnyPayout,medianDaysToFirstPayout,medianDrawdownUtilization,p95DrawdownUtilization,expectedResets,expectedFees,candidate,label,drawdownRule
0.2,5000,0.0,0.0,0.0004,0.0026,0.0,0.0026,11.883187560041394,0.0,-489.41681243995856,-500.0,-500.0,0.014,228.0,0.1655252132365907,0.5853068713050997,0.0026,501.3,mrm,Canonical MRM,static
0.25,5000,0.0,0.0002,0.0028,0.0114,0.0,0.0114,79.71682153113098,0.0,-425.98317846886897,-500.0,-500.0,0.0646,218.0,0.22064301232706446,0.7326794692407066,0.0114,505.7,mrm,Canonical MRM,static
0.3,5000,0.0,0.0016,0.0096,0.0286,0.0,0.0286,236.49928612305666,0.0,-278.1007138769433,-500.0,-500.0,0.1432,205.0,0.3010950126004803,0.8793822887113999,0.0292,514.6,mrm,Canonical MRM,static
0.35,5000,0.0,0.007,0.0236,0.059,0.0,0.059,498.8313400089847,0.0,-31.268659991015273,-500.0,-1000.0,0.2404,194.0,0.38862993077898866,1.0072483863328447,0.0602,530.1,mrm,Canonical MRM,static
0.4,5000,0.0,0.0142,0.0416,0.0942,0.0,0.0942,856.8450992432121,0.0,307.74509924321205,-500.0,-1000.0,0.3308,185.0,0.4776525457560177,1.026918203731458,0.0982,549.1,mrm,Canonical MRM,static
0.45,5000,0.0,0.0268,0.0698,0.1502,0.0,0.1502,1280.0414874078083,0.0,700.6414874078084,-500.0,-1000.0,0.4088,176.0,0.5796225810820069,1.051208567782128,0.1588,579.4,mrm,Canonical MRM,static
0.5,5000,0.0048,0.0446,0.1018,0.2096,0.0,0.2096,1764.660530402705,0.0,1150.260530402705,-500.0,-1000.0,0.4802,166.0,0.6770089190293171,1.082189164136693,0.2288,614.4,mrm,Canonical MRM,static
0.55,5000,0.0092,0.0666,0.1392,0.287,0.0,0.287,2301.353623757243,607.8366979613318,1639.7536237572428,-53.91213912593665,-1000.0,0.5438,158.0,0.7712690403306187,1.1108193916595595,0.3232,661.6,mrm,Canonical MRM,static
0.6,5000,0.0306,0.126,0.2438,0.4548,0.1878,0.3146,2854.082315051904,1407.5820521883086,2069.182315051904,565.892734867579,-1500.0,0.5924,151.0,0.8023966076042985,1.1035126865473182,0.5698,784.9,mrm,Canonical MRM,static
0.65,5000,0.0424,0.1616,0.3046,0.544,0.3316,0.3434,3435.7896517360955,2071.9228260476607,2538.0896517360957,1146.8238255764593,-1500.0,0.637,145.0,0.8659593777680469,1.121597431471304,0.7954,897.7,mrm,Canonical MRM,static
