date,ticker,distribution_ratio,name,entry_date,entry_price,siccode,is_financial,missing_days_first_21,data_quality_fail,survivorship_exit_H1,raw_return_H1,survivorship_exit_H2,raw_return_H2,survivorship_exit_H3,raw_return_H3,survivorship_exit_H4,raw_return_H4,exclude_reason,marketcap_entry,spy_entry,spy_return_H1,excess_return_H1,spy_return_H2,excess_return_H2,spy_return_H3,excess_return_H3,spy_return_H4,excess_return_H4
2015-11-02,HPE,1.0,284,2015-11-02,6.373,3570.0,False,0.0,False,False,0.03169621842146553,False,-0.07406245096500874,False,0.10701396516554196,False,0.5427585124745018,,25249.1,2.1617531965159347,-0.008840530608376973,0.0405367490298425,-0.08532475899826997,0.011262308033261226,-0.014716736698766053,0.12173070186430801,0.02454260621535953,0.5182159062591423
2015-11-02,NRE,0.16667,285,2015-11-02,9.458,6798.0,True,0.0,False,False,-0.028018608585324678,False,-0.16356523577923454,False,0.07083950095157543,False,-0.10234721928526114,,718.9,2.1617531965159347,-0.008840530608376973,-0.019178077976947705,-0.08532475899826997,-0.07824047678096457,-0.014716736698766053,0.08555623765034148,0.02454260621535953,-0.12688982550062067
2015-11-04,EXTN,0.5,286,2015-11-04,15.37,7359.0,False,0.0,False,False,0.07417046193884214,False,-0.03838646714378657,False,-0.022771633051398843,False,-0.03838646714378657,,540.3,2.161445454733552,-0.003517985904168075,0.07768844784301021,-0.10121440880335986,0.06282794165957328,-0.01116336918598615,-0.011608263865412694,0.01385937230878409,-0.052245839452570664
2015-11-10,FCPT,0.33333,287,2015-11-10,7.641,6798.0,True,0.0,False,False,0.06674519042010196,False,0.17707106399685912,False,0.46734720586310696,False,0.46839418924224585,,871.1,2.142949892996761,-0.012897620093542672,0.07964281051364464,-0.11800779823209284,0.29507886222895197,0.0014433119649042148,0.46590389389820275,0.05983480961517107,0.4085593796270748
2015-11-19,MTCH2,0.0,288,2015-11-19,14.011,7370.0,False,0.0,False,False,-0.057026621939904376,False,-0.29783741346085224,False,-0.04682035543501528,False,0.21568767397045185,,,2.142847187684586,-0.02723479410233076,-0.029791827837573615,-0.07233484556747105,-0.2255025678933812,-0.0050536237090577085,-0.04176673172595757,0.07027012869778049,0.14541754527267137
2015-11-30,CSRA1,1.0,289,2015-11-30,30.467,7373.0,False,0.0,False,False,-0.05267994879705917,False,-0.17848820034791735,False,-0.1969015656283848,False,0.04542619883808707,,5165.5,2.144286184517465,-0.007352787857177745,-0.04532716093988143,-0.0407575540389945,-0.13773064630892284,0.018795159363770964,-0.21569672499215575,0.08134873290958122,-0.03592253407149415
2015-12-01,ACGP,1.0,290,2015-12-01,29.949,6211.0,True,0.0,False,False,-0.08133827506761493,False,-0.1608400948278741,False,-0.10451100203679597,False,0.023039166583191273,,844.7,2.1647331471855824,-0.026564934894338976,-0.05477334017327595,-0.046093954168158535,-0.11474614065971556,0.012243694423053508,-0.11675469645984948,0.06856489617801231,-0.04552572959482104
2016-01-04,IMDX,0.05,291,2016-01-04,180.0,2835.0,False,0.0,False,False,-0.6,False,-0.38111111111111107,False,-0.6388888888888888,False,-0.25,,228.7,2.077769809334019,-0.04835361591703402,-0.551646384082966,0.021008255442697132,-0.4021193665538082,0.047528602868362135,-0.686417491757251,0.14454646386514614,-0.39454646386514614
2016-01-04,RACE,0.1,292,2016-01-04,43.407,3711.0,False,0.0,False,False,-0.21733821733821734,False,-0.15066694311977336,False,-0.14529914529914523,False,0.25972769368995796,,8953.0,2.077769809334019,-0.04835361591703402,-0.16898460142118332,0.021008255442697132,-0.1716751985624705,0.047528602868362135,-0.19282774816750736,0.14454646386514614,0.11518122982481183
2016-02-04,GCP,1.0,293,2016-02-04,16.9,2800.0,False,0.0,False,False,0.10591715976331373,False,0.34733727810650894,False,0.6550295857988166,False,0.6213017751479291,,1193.6,1.9804034896984306,0.04692051694544608,0.05899664281786765,0.07529801068011555,0.2720392674263934,0.1412176236039422,0.5138119621948745,0.2226764896755511,0.39862528547237797
