strategy,rebalance_date,next_rebalance_date,group,symbol,next_period_return
Market-Residual Momentum,2022-10-03,2022-11-01,retained,MCD,0.17201969245302084
Market-Residual Momentum,2022-10-03,2022-11-01,retained,AAPL,0.12206049914520589
Market-Residual Momentum,2022-10-03,2022-11-01,outgoing,AMGN,0.1810576900863421
Market-Residual Momentum,2022-10-03,2022-11-01,outgoing,HON,0.2021522506359139
Market-Residual Momentum,2022-10-03,2022-11-01,universe_median,__UNIVERSE_MEDIAN__,0.13501667971770392
Market-Residual Momentum,2022-11-01,2022-12-01,new,HON,0.08595194138712015
Market-Residual Momentum,2022-11-01,2022-12-01,retained,AAPL,-0.042714342743136124
Market-Residual Momentum,2022-11-01,2022-12-01,retained,MSFT,0.0851893559791026
Market-Residual Momentum,2022-11-01,2022-12-01,retained,MCD,0.003684408534296635
Market-Residual Momentum,2022-11-01,2022-12-01,retained,JNJ,0.03501869323769835
Market-Residual Momentum,2022-11-01,2022-12-01,outgoing,KO,0.06715196740211127
Market-Residual Momentum,2022-11-01,2022-12-01,universe_median,__UNIVERSE_MEDIAN__,0.06715196740211127
Market-Residual Momentum,2022-12-01,2023-01-03,new,CSCO,-0.04049745847024777
Market-Residual Momentum,2022-12-01,2023-01-03,new,KO,-0.0007861067075355388
Market-Residual Momentum,2022-12-01,2023-01-03,retained,HON,-0.023288483688231
Market-Residual Momentum,2022-12-01,2023-01-03,retained,MCD,-0.0352540081748266
Market-Residual Momentum,2022-12-01,2023-01-03,retained,JNJ,-0.015865756277662513
Market-Residual Momentum,2022-12-01,2023-01-03,outgoing,MSFT,-0.0425018458110582
Market-Residual Momentum,2022-12-01,2023-01-03,outgoing,AAPL,-0.1209771692685161
Market-Residual Momentum,2022-12-01,2023-01-03,universe_median,__UNIVERSE_MEDIAN__,-0.0352540081748266
Market-Residual Momentum,2023-01-03,2023-02-01,retained,MCD,0.013243521452793727
Market-Residual Momentum,2023-01-03,2023-02-01,retained,HON,-0.038858846800082
Market-Residual Momentum,2023-01-03,2023-02-01,retained,CSCO,0.019152420412771765
Market-Residual Momentum,2023-01-03,2023-02-01,retained,JNJ,-0.07476166723127453
Market-Residual Momentum,2023-01-03,2023-02-01,retained,KO,-0.03807427009292175
Market-Residual Momentum,2023-01-03,2023-02-01,universe_median,__UNIVERSE_MEDIAN__,0.018323147736303946
Market-Residual Momentum,2023-02-01,2023-03-01,new,AXP,0.0007498435486554822
Market-Residual Momentum,2023-02-01,2023-03-01,new,IBM,-0.029791633602742507
Market-Residual Momentum,2023-02-01,2023-03-01,retained,CSCO,0.0010333065733170166
Market-Residual Momentum,2023-02-01,2023-03-01,retained,KO,-0.032875319555324856
Market-Residual Momentum,2023-02-01,2023-03-01,retained,JNJ,-0.05447864582081785
Market-Residual Momentum,2023-02-01,2023-03-01,outgoing,MCD,-0.011100848242666106
Market-Residual Momentum,2023-02-01,2023-03-01,outgoing,HON,-0.07326202329381082
Market-Residual Momentum,2023-02-01,2023-03-01,universe_median,__UNIVERSE_MEDIAN__,-0.029791633602742507
Market-Residual Momentum,2023-03-01,2023-04-03,new,V,0.026291650509159714
Market-Residual Momentum,2023-03-01,2023-04-03,new,PG,0.07518982232378613
Market-Residual Momentum,2023-03-01,2023-04-03,new,HON,-0.003305536309906265
Market-Residual Momentum,2023-03-01,2023-04-03,retained,KO,0.061692267092019026
Market-Residual Momentum,2023-03-01,2023-04-03,retained,JNJ,0.012678994299173851
Market-Residual Momentum,2023-03-01,2023-04-03,outgoing,CSCO,0.07473161674923201
Market-Residual Momentum,2023-03-01,2023-04-03,outgoing,AXP,-0.05417559363716562
Market-Residual Momentum,2023-03-01,2023-04-03,outgoing,IBM,0.016058939461194965
Market-Residual Momentum,2023-03-01,2023-04-03,universe_median,__UNIVERSE_MEDIAN__,0.026291650509159714
Market-Residual Momentum,2023-04-03,2023-05-01,new,CSCO,-0.08654339441033121
Market-Residual Momentum,2023-04-03,2023-05-01,retained,V,0.03392090390418079
Market-Residual Momentum,2023-04-03,2023-05-01,retained,KO,0.02969510914042739
Market-Residual Momentum,2023-04-03,2023-05-01,retained,PG,0.05778421877501927
Market-Residual Momentum,2023-04-03,2023-05-01,retained,JNJ,0.05582441646771663
Market-Residual Momentum,2023-04-03,2023-05-01,outgoing,HON,0.049483327304645996
Market-Residual Momentum,2023-04-03,2023-05-01,universe_median,__UNIVERSE_MEDIAN__,0.021954025574769664
Market-Residual Momentum,2023-05-01,2023-06-01,new,MCD,-0.03652088108584295
Market-Residual Momentum,2023-05-01,2023-06-01,retained,V,-0.04167891828645187
Market-Residual Momentum,2023-05-01,2023-06-01,retained,KO,-0.06562732648662783
Market-Residual Momentum,2023-05-01,2023-06-01,retained,PG,-0.08190735019500273
Market-Residual Momentum,2023-05-01,2023-06-01,retained,JNJ,-0.04825205675829225
Market-Residual Momentum,2023-05-01,2023-06-01,outgoing,CSCO,0.05423722727333824
Market-Residual Momentum,2023-05-01,2023-06-01,universe_median,__UNIVERSE_MEDIAN__,-0.04309701360194351
Market-Residual Momentum,2023-06-01,2023-07-03,new,WMT,0.07249848197283737
Market-Residual Momentum,2023-06-01,2023-07-03,retained,V,0.06406856069741695
Market-Residual Momentum,2023-06-01,2023-07-03,retained,KO,0.011986663231518646
Market-Residual Momentum,2023-06-01,2023-07-03,retained,PG,0.05745193175540497
Market-Residual Momentum,2023-06-01,2023-07-03,retained,MCD,0.05071824680237991
Market-Residual Momentum,2023-06-01,2023-07-03,outgoing,JNJ,0.06341428373555469
Market-Residual Momentum,2023-06-01,2023-07-03,universe_median,__UNIVERSE_MEDIAN__,0.05071824680237991
Market-Residual Momentum,2023-07-03,2023-08-01,new,AAPL,0.012694967460341378
Market-Residual Momentum,2023-07-03,2023-08-01,retained,V,0.0005907298080094492
Market-Residual Momentum,2023-07-03,2023-08-01,retained,KO,0.03139520866030332
Market-Residual Momentum,2023-07-03,2023-08-01,retained,MCD,-0.016085251719194504
Market-Residual Momentum,2023-07-03,2023-08-01,retained,WMT,0.020024175104340847
Market-Residual Momentum,2023-07-03,2023-08-01,outgoing,PG,0.03553054834712399
Market-Residual Momentum,2023-07-03,2023-08-01,universe_median,__UNIVERSE_MEDIAN__,0.03139520866030332
Market-Residual Momentum,2023-08-01,2023-09-01,retained,V,0.04552325691864434
Market-Residual Momentum,2023-08-01,2023-09-01,retained,MCD,-0.030515059392301258
Market-Residual Momentum,2023-08-01,2023-09-01,retained,WMT,0.021875573833293638
Market-Residual Momentum,2023-08-01,2023-09-01,retained,KO,-0.033660778823114135
Market-Residual Momentum,2023-08-01,2023-09-01,retained,AAPL,-0.033092697859854026
Market-Residual Momentum,2023-08-01,2023-09-01,universe_median,__UNIVERSE_MEDIAN__,-0.009482763222981916
Market-Residual Momentum,2023-09-01,2023-10-02,new,IBM,-0.049029127001703254
Market-Residual Momentum,2023-09-01,2023-10-02,retained,V,-0.07366560931224253
Market-Residual Momentum,2023-09-01,2023-10-02,retained,KO,-0.06077376009200042
Market-Residual Momentum,2023-09-01,2023-10-02,retained,MCD,-0.07269777481076689
Market-Residual Momentum,2023-09-01,2023-10-02,retained,WMT,-0.0207527322397566
Market-Residual Momentum,2023-09-01,2023-10-02,outgoing,AAPL,-0.09641673720157162
Market-Residual Momentum,2023-09-01,2023-10-02,universe_median,__UNIVERSE_MEDIAN__,-0.055804783711945194
Market-Residual Momentum,2023-10-02,2023-11-01,new,PG,0.04732026843649817
Market-Residual Momentum,2023-10-02,2023-11-01,retained,V,0.03009949229717601
Market-Residual Momentum,2023-10-02,2023-11-01,retained,KO,0.015918404128710817
Market-Residual Momentum,2023-10-02,2023-11-01,retained,MCD,0.003816910625245029
Market-Residual Momentum,2023-10-02,2023-11-01,retained,WMT,0.029594304150525774
