strategy,rebalance_date,next_rebalance_date,outgoing_symbol,incoming_symbol,outgoing_prior_rank,outgoing_exit_rank,outgoing_prior_score,outgoing_exit_score,incoming_rank,incoming_score,score_differential,outgoing_realized_return,outgoing_mfe,outgoing_mae,outgoing_state,removal_reason,rank_bucket,incoming_return,outgoing_counterfactual_return,replacement_advantage,large_winner,large_loser
Dual Momentum,2022-04-01,2022-05-02,AXP,KO,3,8,0.22415073023128684,0.12576575148497748,5,0.17557898988633913,0.04981323840136165,-0.033235797376364506,0.0,-0.18256527918995624,loser,fell below top-N,just outside boundary,0.047328683098724955,-0.06936377864681265,0.1166924617455376,False,False
Dual Momentum,2022-05-02,2022-06-01,AAPL,MRK,2,9,0.27740897724984803,0.08541131763279664,3,0.18560298956901278,0.10019167193621614,-0.06311386659087215,0.08675656145140098,-0.09952290281727694,loser,fell below top-N,just outside boundary,0.03325076734323429,-0.042050985920415895,0.07530175326365018,False,False
Dual Momentum,2022-06-01,2022-07-01,TRV,AMGN,4,6,0.16782654638741623,0.14165757971774018,4,0.17437744511306352,0.032719865395323344,-0.03459702125486763,0.006669879713543159,-0.08768514285777596,loser,fell below top-N,just outside boundary,-0.05673168931219308,-0.046694421235624395,-0.010037268076568684,False,False
Dual Momentum,2022-08-01,2022-09-01,MRK,IBM,3,6,0.24668482061791708,0.12502463141752762,5,0.13448705805753636,0.009462426640008736,0.015229580466646908,0.07909339223786405,-0.041929743885719906,winner,fell below top-N,just outside boundary,-0.005600354339650115,-0.041414808089672794,0.03581445375002268,False,False
Dual Momentum,2022-09-01,2022-10-03,IBM,MRK,5,6,0.13448705805753636,0.1377620867963787,5,0.17004166421853695,0.03227957742215826,-0.005600354339650115,0.07703390599323345,-0.005600354339650115,loser,fell below top-N,just outside boundary,0.02077441679739067,-0.06417447928491615,0.08494889608230682,False,False
Dual Momentum,2022-12-01,2023-01-03,UNH,CAT,4,9,0.18613499644135878,0.13945807433704283,3,0.25018841032950023,0.11073033599245741,-0.004756955990490641,0.0,-0.09367557864404341,near-flat,fell below top-N,just outside boundary,0.01595595190200183,-0.04636672708103917,0.062322678983041,False,False
Dual Momentum,2022-12-01,2023-01-03,TRV,IBM,5,11,0.12815534019438135,0.11074618895572841,4,0.2467663771293127,0.1360201881735843,0.033443308726617715,0.033443308726617715,-0.028627079365141306,winner,fell below top-N,moderate deterioration,-0.059207926960299084,-0.017447670417002237,-0.04176025654329685,False,False
Dual Momentum,2023-01-03,2023-02-01,CAT,HON,3,6,0.25018841032950023,0.09508684355470676,4,0.12132686633293854,0.026240022778231786,0.01595595190200183,0.026340053562711407,-0.04056576468193662,winner,fell below top-N,just outside boundary,-0.038858846800082,0.050983171986885845,-0.08984201878696785,False,False
Dual Momentum,2023-02-01,2023-03-01,CVX,BA,2,7,0.13015727832458568,0.12894473071743273,1,0.43106695270574913,0.3021222219883164,0.36054050819135197,0.48707890723868874,0.0,winner,fell below top-N,just outside boundary,-0.050162648432566015,-0.05510727271651861,0.004944624283952592,True,False
Dual Momentum,2023-02-01,2023-03-01,AMGN,GS,5,8,0.1108771299186797,0.10707432458639365,3,0.22184326020478595,0.1147689356183923,-0.06945059438912715,0.08453270988653117,-0.06945059438912715,loser,fell below top-N,just outside boundary,-0.020073113028501566,-0.06725976643567888,0.047186653407177315,False,False
Dual Momentum,2023-02-01,2023-03-01,HON,CAT,4,11,0.12132686633293854,0.09035234883951726,4,0.22051273792836357,0.1301603890888463,-0.038858846800082,0.00678599178595185,-0.06734826319607679,loser,fell below top-N,moderate deterioration,-0.038689203243587156,-0.07326202329381082,0.03457282005022366,False,False
