strategy,rebalance_date,next_rebalance_date,outgoing_symbol,incoming_symbol,outgoing_prior_rank,outgoing_exit_rank,outgoing_prior_score,outgoing_exit_score,incoming_rank,incoming_score,score_differential,outgoing_realized_return,outgoing_mfe,outgoing_mae,outgoing_state,removal_reason,rank_bucket,incoming_return,outgoing_counterfactual_return,replacement_advantage,large_winner,large_loser
Market-Residual Momentum,2023-12-01,2024-01-02,WMT,KO,1,10,-0.0032563127169218387,-0.006760095868795668,5,-0.004636534134863979,0.0021235617339316892,0.06649577214103419,0.16533443453718677,0.0,winner,fell below top-N,just outside boundary,0.00909557350390422,0.015793897221504816,-0.006698323717600596,False,False
Market-Residual Momentum,2024-01-02,2024-02-01,PG,IBM,3,6,-0.004050610099185836,-0.004839663543933614,5,-0.004766760886539045,7.290265739456903e-05,0.017293506588555108,0.06706008931223062,-0.012294687307005447,winner,fell below top-N,just outside boundary,0.1277407504344079,0.07789077509763986,0.04984997533676805,False,False
Market-Residual Momentum,2024-03-01,2024-04-01,KO,JNJ,4,6,-0.004439732270963281,-0.0047182217620592715,3,-0.004119344117746615,0.0005988776443126564,0.027973185357765606,0.0509695793299525,-0.011326579407681447,winner,fell below top-N,just outside boundary,-0.025397154459727678,0.02953868968762685,-0.05493584414735453,False,False
Market-Residual Momentum,2024-03-01,2024-04-01,MCD,HON,3,7,-0.004020511079655176,-0.004863931135702604,4,-0.004511807972286452,0.00035212316341615146,0.0075817105516835515,0.03330726131078654,-0.15857082607482842,winner,fell below top-N,just outside boundary,0.03947558873166912,-0.033940845995896085,0.0734164347275652,False,False
Market-Residual Momentum,2024-03-01,2024-04-01,IBM,HD,5,19,-0.0046500898022450166,-0.009227091562511669,5,-0.004665873268961285,0.004561218293550384,0.1495491924690806,0.16950211415538252,-0.02253867404121901,winner,fell below top-N,moderate deterioration,0.008916729773830623,0.024314046509141374,-0.015397316735310751,False,False
Market-Residual Momentum,2024-04-01,2024-05-01,HD,KO,5,6,-0.004665873268961285,-0.005012073772096559,5,-0.004804195504027775,0.00020787826806878407,0.008916729773830623,0.04523009356280294,-0.017399284976927,winner,fell below top-N,just outside boundary,0.010133922414413021,-0.12703494674680582,0.13716886916121884,False,False
Market-Residual Momentum,2024-05-01,2024-06-03,JPM,MCD,2,8,-0.003729060497709047,-0.005777292217449159,5,-0.004875718933587514,0.0009015732838616453,0.24877478481971105,0.2933842121718919,0.0,winner,fell below top-N,just outside boundary,-0.043390854928033296,0.052218079831295006,-0.0956089347593283,True,False
Market-Residual Momentum,2024-06-03,2024-07-01,HON,MSFT,4,6,-0.004755966910716891,-0.004953307038875865,3,-0.0038604175406949937,0.0010928894981808712,0.036991545042251994,0.05123720977193602,-0.03659097181107851,winner,fell below top-N,just outside boundary,0.081762204822458,0.045726663514856325,0.03603554130760167,False,False
Market-Residual Momentum,2024-06-03,2024-07-01,JNJ,PG,3,7,-0.004184678371166983,-0.005353691381400183,4,-0.004735830058067658,0.0006178613233325247,-0.08273934493766333,0.005623230391632594,-0.10739675955419603,loser,fell below top-N,just outside boundary,0.010126407908318757,-0.008013598019529278,0.018140005927848035,False,True
Market-Residual Momentum,2024-06-03,2024-07-01,MCD,CSCO,5,8,-0.004875718933587514,-0.005570384016123309,5,-0.004891355477727233,0.0006790285383960759,-0.043390854928033296,0.013339187937937869,-0.08110404450127773,loser,fell below top-N,just outside boundary,0.016267160384621393,-0.01201878144024715,0.028285941824868543,False,False
Market-Residual Momentum,2024-07-01,2024-08-01,CSCO,HON,5,7,-0.004891355477727233,-0.0056766112613708675,5,-0.004929125932645939,0.0007474853287249283,0.016267160384621393,0.016909171702375936,-0.025684856080940177,winner,fell below top-N,just outside boundary,-0.041334537325401155,0.03278303282887851,-0.07411757015427967,False,False
