realization_date,signal_date,regime,full_ret,minus_ibs_ret,minus_rsi2_ret,minus_tue_ret,minus_srs_ret,ibs_spread,spy_ret,n_held,n_universe,held_sector_counts,universe_sector_counts,fac_Mkt-RF,fac_SMB,fac_HML,fac_RMW,fac_CMA,fac_UMD,fac_RF
2013-09-20,2013-09-13,BULL,0.0016855941173992267,0.0023904015466758217,0.0021438903008595867,0.0006770940692666007,0.0011782169546048463,-0.002826451429136754,0.0026320793695167044,219,1097,"{""Technology"": 53, ""Industrials"": 39, ""Consumer Cyclical"": 39, ""Energy"": 31, ""Basic Materials"": 19, ""Consumer Defensive"": 17, ""Communication Services"": 14, ""Utilities"": 7}","{""Industrials"": 249, ""Technology"": 232, ""Consumer Cyclical"": 217, ""Energy"": 113, ""Consumer Defensive"": 92, ""Basic Materials"": 90, ""Communication Services"": 63, ""Utilities"": 41}",0.004203291512354879,0.012139386816466757,-0.014238983844691577,0.0038791329380660766,-0.010456409936074107,-0.006016849970044036,0.0
2013-09-27,2013-09-20,BULL,-0.007521744205984998,-0.008396530100412537,-0.008475909211475648,-0.00717542072722249,-0.008608782363706055,-0.003670322526825739,-0.011298771458906898,220,1103,"{""Technology"": 51, ""Consumer Cyclical"": 50, ""Energy"": 35, ""Industrials"": 34, ""Basic Materials"": 15, ""Communication Services"": 15, ""Consumer Defensive"": 13, ""Utilities"": 7}","{""Industrials"": 249, ""Technology"": 232, ""Consumer Cyclical"": 218, ""Energy"": 113, ""Consumer Defensive"": 96, ""Basic Materials"": 91, ""Communication Services"": 63, ""Utilities"": 41}",-0.008296934942569556,0.012651301378379776,-0.0013426584545734865,-0.0017102019673791435,-0.003997778904022198,0.01731389057117161,0.0
2013-10-04,2013-09-27,BULL,0.0025636502125340275,0.0012227606896312007,0.004883268721669901,0.002806321453003165,0.0029370244983029535,-0.003428125155333266,-0.0034522392894359433,221,1106,"{""Technology"": 48, ""Industrials"": 45, ""Consumer Cyclical"": 40, ""Consumer Defensive"": 21, ""Utilities"": 18, ""Basic Materials"": 18, ""Energy"": 16, ""Communication Services"": 15}","{""Industrials"": 249, ""Technology"": 235, ""Consumer Cyclical"": 219, ""Energy"": 114, ""Consumer Defensive"": 95, ""Basic Materials"": 91, ""Communication Services"": 62, ""Utilities"": 41}",-0.003049339826657116,-0.004110020063948783,0.0010977389012598593,-0.003499345646627572,-0.0008077735948393006,-0.0002563576409966295,0.0
2013-10-11,2013-10-04,BULL,0.008221956060668008,0.008285112015188369,0.0076956632772816206,0.00848275339909569,0.009024591206184675,0.001404932609360204,0.020964451871730683,221,1106,"{""Consumer Cyclical"": 57, ""Industrials"": 51, ""Technology"": 39, ""Consumer Defensive"": 26, ""Basic Materials"": 15, ""Communication Services"": 14, ""Utilities"": 12, ""Energy"": 7}","{""Industrials"": 247, ""Technology"": 231, ""Consumer Cyclical"": 224, ""Energy"": 111, ""Consumer Defensive"": 97, ""Basic Materials"": 92, ""Communication Services"": 60, ""Utilities"": 43}",0.019416886456218085,0.004060768189579678,0.012830056259840239,0.009207752143580494,0.004281887080399116,0.0035673608407840174,0.0
2013-10-18,2013-10-11,BULL,0.03729277218128325,0.03736507549612732,0.03951915289520701,0.037041887569109797,0.03749825680670219,0.007249484711225083,0.02024085553530952,222,1110,"{""Consumer Cyclical"": 58, ""Industrials"": 48, ""Technology"": 36, ""Energy"": 26, ""Basic Materials"": 22, ""Consumer Defensive"": 17, ""Communication Services"": 11, ""Utilities"": 4}","{""Industrials"": 249, ""Technology"": 234, ""Consumer Cyclical"": 223, ""Energy"": 111, ""Consumer Defensive"": 97, ""Basic Materials"": 92, ""Communication Services"": 61, ""Utilities"": 43}",0.020436039344020607,-0.0026078103785494022,0.0025010490545733788,-0.002421653717637362,-0.006192928104451156,0.010729869901396683,0.0
2013-10-25,2013-10-18,BULL,0.008678972730647693,0.00463271709410304,0.008471586273955176,0.00745564317931279,0.007736183982864505,0.004895898232577835,0.010493209739547149,222,1113,"{""Consumer Cyclical"": 61, ""Technology"": 56, ""Industrials"": 34, ""Basic Materials"": 23, ""Communication Services"": 17, ""Energy"": 15, ""Consumer Defensive"": 13, ""Utilities"": 3}","{""Industrials"": 247, ""Technology"": 235, ""Consumer Cyclical"": 225, ""Energy"": 113, ""Consumer Defensive"": 97, ""Basic Materials"": 91, ""Communication Services"": 62, ""Utilities"": 43}",0.008394393453609483,-0.0013167073021318476,-0.0045000092161586736,0.013764009574088742,0.005805021130765864,-0.015816556892761735,0.0
2013-11-01,2013-10-25,BULL,-0.011103420367784375,-0.01131335702884374,-0.011643387052729753,-0.011888352106237657,-0.008485429420520486,-0.0007502343302920843,0.0034040365770611203,223,1118,"{""Technology"": 81, ""Industrials"": 41, ""Energy"": 33, ""Consumer Cyclical"": 33, ""Communication Services"": 14, ""Basic Materials"": 14, ""Consumer Defensive"": 5, ""Utilities"": 2}","{""Industrials"": 248, ""Technology"": 237, ""Consumer Cyclical"": 225, ""Energy"": 113, ""Consumer Defensive"": 98, ""Basic Materials"": 91, ""Communication Services"": 63, ""Utilities"": 43}",0.00285359743243907,-0.008937730783602604,0.001475697203678017,0.013061381428298713,0.0071156371182379274,0.002082662531780466,0.0
2013-11-08,2013-11-01,BULL,0.003060773461401102,0.010195222520343805,0.0012033108440771946,0.0020200420461186273,-5.050629705876069e-05,-0.0016540884084052616,0.002771495986733319,222,1114,"{""Technology"": 52, ""Consumer Cyclical"": 44, ""Industrials"": 37, ""Energy"": 32, ""Basic Materials"": 23, ""Consumer Defensive"": 21, ""Communication Services"": 8, ""Utilities"": 5}","{""Industrials"": 247, ""Technology"": 230, ""Consumer Cyclical"": 229, ""Energy"": 117, ""Consumer Defensive"": 97, ""Basic Materials"": 90, ""Communication Services"": 61, ""Utilities"": 43}",0.0013823562642720777,-0.0052411361583057925,0.005294034771829992,0.0011800299333877273,0.00410152539982489,-0.003250215874088136,0.0
2013-11-15,2013-11-08,BULL,0.020347166087096715,0.0205987610133738,0.020839311332496304,0.019198181663523772,0.021614053123452083,0.0003836399927121016,0.011842707924972107,224,1123,"{""Consumer Cyclical"": 56, ""Industrials"": 55, ""Technology"": 47, ""Energy"": 18, ""Consumer Defensive"": 18, ""Communication Services"": 13, ""Basic Materials"": 11, ""Utilities"": 6}","{""Industrials"": 247, ""Technology"": 235, ""Consumer Cyclical"": 231, ""Energy"": 116, ""Consumer Defensive"": 97, ""Basic Materials"": 90, ""Communication Services"": 63, ""Utilities"": 43}",0.010886458888784478,-0.0044216355023563025,-0.003438546825594191,0.004882471450650794,0.0016946048550399162,-0.005050995421110427,0.0
2013-11-22,2013-11-15,BULL,0.002965892963719467,0.0050079132783334285,0.003562537777305586,0.0030986358496842385,0.004551394433903471,0.0003504902751918855,0.0067444456264957875,225,1125,"{""Industrials"": 44, ""Technology"": 41, ""Consumer Cyclical"": 36, ""Energy"": 28, ""Communication Services"": 26, ""Basic Materials"": 20, ""Consumer Defensive"": 19, ""Utilities"": 11}","{""Industrials"": 250, ""Technology"": 237, ""Consumer Cyclical"": 230, ""Energy"": 115, ""Consumer Defensive"": 97, ""Basic Materials"": 91, ""Communication Services"": 62, ""Utilities"": 43}",0.007359481697014836,0.009302247089788773,0.004405401413417831,-0.004400338599583886,-0.0012065451584176712,0.006045876739975142,0.0
