date,incumbent_symbol,incumbent_rank,incumbent_score,unrealized_return,deferred_incoming_symbol,incoming_rank,incoming_score,entry_date,next_rebalance_date,incumbent_next_return,deferred_incoming_next_return,incumbent_minus_incoming,rank_category
2024-10-01,GS,6,0.3058763660984154,0.0853598343257409,WMT,1,0.5524000994980325,2024-06-03,2024-11-01,0.05139723975830024,0.022930173019685363,0.028467066738614877,rank 6-7
2024-10-01,JPM,7,0.26001324458007846,0.04803717361926485,IBM,4,0.38797459322601924,2024-06-03,2024-11-01,0.07673525187639263,-0.0582876754249122,0.13502292730130483,rank 6-7
2024-11-01,CAT,6,0.23654049903055419,0.09024459457292044,WMT,2,0.4749375833518037,2024-08-01,2024-12-02,0.07773683187388936,0.1246819017396601,-0.04694506986577074,rank 6-7
2025-01-02,JPM,7,0.22664170886793,0.19873143578945363,AAPL,2,0.48854621570284995,2024-06-03,2025-02-03,0.09240512410805257,-0.07608560980484891,0.16849073391290148,rank 6-7
2025-02-03,AXP,7,0.3672523928896154,0.46354238056313335,IBM,3,0.5797224807231136,2024-03-01,2025-03-03,-0.03446619515975624,0.015994886788178286,-0.05046108194793453,rank 6-7
2025-03-03,JPM,6,0.3490229523688779,0.3302855294867817,CSCO,4,0.4174022565587592,2024-06-03,2025-04-01,-0.08098481636017896,-0.04674640960838261,-0.034238406751796346,rank 6-7
2025-04-01,GS,8,0.24446732151407358,0.20945504455925912,V,4,0.3219641077593891,2024-06-03,2025-05-01,0.008927472386488278,-0.013868189202723702,0.02279566158921198,rank 8-10
2025-05-01,MMM,10,0.12731048953247392,0.37171096637480816,MCD,5,0.24440184051895208,2024-07-01,2025-06-02,0.07458936755873569,-0.002100052251981288,0.07668941981071697,rank 8-10
2025-06-02,TRV,6,0.24844617921744483,0.05325496345018088,DIS,5,0.24907473836252292,2025-05-01,2025-07-01,-0.02209668389191255,0.1006980625197571,-0.12279474641166965,rank 6-7
2025-07-01,V,7,0.32372270669235137,0.029109401307435778,JPM,2,0.40348700994842646,2025-05-01,2025-08-01,-0.027471633875182033,0.003124983507574841,-0.030596617382756874,rank 6-7
2025-07-01,WMT,8,0.21011463282269038,0.06122969993824423,BA,3,0.3764945283077499,2024-12-02,2025-08-01,0.0040984310103917565,0.047494018846024666,-0.04339558783563291,rank 8-10
2025-08-01,CSCO,6,0.24536208213368393,0.09181255010459921,DIS,4,0.2643162776207588,2025-06-02,2025-09-02,0.008887514698268317,-0.004847346092166638,0.013734860790434955,rank 6-7
2025-08-01,IBM,9,0.20442579163678687,0.000371193899296296,MSFT,5,0.25335293233430467,2025-03-03,2025-09-02,-0.035325820407390296,-0.06300436914055763,0.02767854873316733,rank 8-10
2025-10-01,MMM,7,0.20013191655464202,0.007989638456096682,CAT,4,0.31555850660790363,2025-09-02,2025-11-03,0.07484621984799666,0.21850726972894519,-0.14366104988094852,rank 6-7
2025-10-01,MSFT,9,0.18873369450312283,0.0349272407765997,JNJ,5,0.30437010717201907,2025-09-02,2025-11-03,0.009731914976569334,0.016129110624882204,-0.00639719564831287,rank 8-10
2025-11-03,JPM,8,0.18246771724550137,0.07655845480119394,JNJ,3,0.27126762668193827,2025-08-01,2025-12-01,0.006270007131292887,0.09952967124880296,-0.09325966411751008,rank 8-10
2026-03-02,CSCO,10,0.27645799129307846,0.017152963185581127,MRK,3,0.6722400023084141,2026-02-02,2026-04-01,-0.009523760300096717,-0.0140447943889761,0.004521034088879383,rank 8-10
2026-04-01,GS,11,0.21403519483189548,0.21360651687243903,MRK,5,0.5591705939559386,2025-07-01,2026-05-01,0.06564336830005946,-0.07073126875436397,0.13637463705442343,rank >10 or unranked
2026-06-01,JNJ,8,0.2968900848318359,0.10329616179928935,CSCO,3,0.7892366782923492,2025-12-01,2026-07-01,0.13463263200100362,-0.027211996803068406,0.16184462880407202,rank 8-10
2026-06-01,UNH,9,0.27773379879900784,0.022448635056989685,MRK,4,0.44894786972363976,2026-05-01,2026-07-01,0.11534471365724408,0.09681442325960399,0.018530290397640092,rank 8-10
2026-08-03,JNJ,6,0.3953917609516484,0.25518118099200193,TRV,5,0.41269708559195073,2025-12-01,,,,,rank 6-7
