rebalance_date,outgoing,incoming,outgoing_state,incoming_return,outgoing_counterfactual_return,replacement_advantage
2024-05-01,IBM,DIS,loser,-0.06397696099535566,0.015107578393017684,-0.07908453938837334
2024-06-03,DIS,GS,loser,-0.009501442282580208,-0.04579049193734408,0.03628904965476387
2024-06-03,CAT,MSFT,winner,0.081762204822458,-0.01689777920143465,0.09865998402389264
2024-07-01,TRV,MMM,loser,0.23954901370931858,0.06453978285019324,0.17500923085912534
2024-08-01,MSFT,CAT,winner,0.017066331481345953,-0.0050541213367137905,0.022120452818059744
2024-09-03,CAT,WMT,winner,0.043320639666845295,0.11089968400126549,-0.06757904433442019
2024-10-01,GS,IBM,winner,-0.0582876754249122,0.05139723975830024,-0.10968491518321244
2024-10-01,JPM,CAT,winner,-0.03026473626851256,0.07673525187639263,-0.10699998814490519
2024-11-01,CAT,GS,loser,0.17502301272042753,0.07773683187388936,0.09728618084653817
2024-11-01,IBM,JPM,loser,0.1162551437577315,0.10359028405442894,0.012664859703302556
2025-01-02,JPM,AAPL,winner,-0.07608560980484891,0.09240512410805257,-0.16849073391290148
2025-02-03,AAPL,IBM,loser,0.015994886788178286,0.05246243948609419,-0.036467552697915906
2025-02-03,AXP,JPM,winner,0.008287892131081387,-0.03446619515975624,0.04275408729083763
2025-03-03,JPM,CSCO,winner,-0.04674640960838261,-0.08098481636017896,0.034238406751796346
2025-04-01,GS,V,winner,-0.013868189202723702,0.008927472386488278,-0.02279566158921198
2025-05-01,CSCO,TRV,loser,0.04454472323308711,0.08566983287154639,-0.04112510963845928
2025-05-01,MMM,MCD,winner,-0.002100052251981288,0.07458936755873569,-0.07668941981071697
2025-06-02,TRV,CSCO,winner,0.10600984708518069,-0.02209668389191255,0.12810653097709324
2025-06-02,MCD,DIS,loser,0.1006980625197571,-0.058668434632261346,0.15936649715201845
2025-07-01,DIS,GS,winner,0.003545254785701779,-0.04785427491681371,0.05139952970251549
2025-07-01,V,JPM,winner,0.003124983507574841,-0.027471633875182033,0.030596617382756874
2025-07-01,WMT,BA,winner,0.047494018846024666,0.0040984310103917565,0.04339558783563291
2025-08-01,CSCO,DIS,winner,-0.004847346092166638,0.008887514698268317,-0.013734860790434955
