strategy,symbol,entry_date,exit_date,entry_price,exit_price,holding_sessions,realized_return,realized_r,close_mfe,close_mae,intraday_high_mfe,intraday_low_mae,mfe_date,mae_date,sessions_entry_to_mfe,sessions_mfe_to_exit,sessions_mae_to_exit,halfway_return,max_drawdown_from_unrealized_peak,mfe_capture_ratio,profit_given_back,best_observed_exit_price,worst_observed_price,hindsight_best_exit_return,first_meaningful_loss_sessions,return_at_first_meaningful_loss,loser_delay,fraction_sessions_below_entry,loss_arrival,max_recovery_after_mae,once_meaningfully_profitable,material_recovery_after_mae,never_materially_recovered,entry_rank,exit_rank,entry_score,exit_score,removal_reason,exit_trailing_5d_return,exited_still_trending_strongly,winner_peak_early_decay,winner_pattern,first5_return,first5_close_mfe,first5_close_mae,first5_intraday_mfe,first5_intraday_mae,post_exit_5d_return,post_exit_5d_mfe,post_exit_5d_mae,post_exit_10d_return,post_exit_10d_mfe,post_exit_10d_mae,post_exit_20d_return,post_exit_20d_mfe,post_exit_20d_mae,post_exit_40d_return,post_exit_40d_mfe,post_exit_40d_mae
Dual Momentum - One-Rebalance Winner Grace v1,TRV,2022-04-01,2022-06-01,170.12555219569367,164.23971485038317,41,-0.03459702125486763,,0.006669879713543159,-0.08768514285777596,0.017244126641914104,-0.09815099435337893,2022-04-11,2022-05-20,7,35,7,-0.0776533456525017,-0.09435502257131911,,0.04126690096841079,171.26026916503906,155.20806884765625,0.006669879713543159,11.0,-0.04473734071760782,0.010140319462740188,0.8604651162790697,sudden,0.05856521735162634,False,True,False,4,6,0.22358840079357645,0.14165757971774018,portfolio removal,0.029497962009308543,True,True,,-0.01258066268297009,0.004555047563632897,-0.01637666934485782,0.0056395708772847275,-0.02348025894781902,0.003426548715726341,0.0039320610032049785,-0.024377846604250686,-0.06086821353217653,0.0039320610032049785,-0.06798324515694454,-0.06374800837961148,0.0039320610032049785,-0.10581739084162312,-0.12055560132209997,0.0039320610032049785,-0.14105378643037636
Dual Momentum - One-Rebalance Winner Grace v1,KO,2022-05-02,2022-10-03,57.607019043442186,50.46003438783829,106,-0.1240644764176092,,0.01041680130430045,-0.12934846341181971,0.016850597731069783,-0.13105817463541736,2022-05-16,2022-09-30,11,96,1,-0.03520552462699844,-0.13976526471612016,,0.13448127772190965,58.207099914550774,50.1556396484375,0.01041680130430045,0.0,-0.02818627737431012,-0.09587819904329908,0.9259259259259259,sudden,0.00528398699421051,True,False,True,5,6,0.15912005986400923,-0.025668535666808268,portfolio removal,-0.0319680263780614,False,True,,-0.00827214316392344,-0.003829423188167591,-0.03370095560031605,0.00045954013262616833,-0.041360248142321865,-0.032824612583538526,0.02572774176633308,-0.037437784205251234,-0.024485278788518694,0.02572774176633308,-0.04151861199539819,0.07806960461367085,0.08073109391852507,-0.04151861199539819,0.11249136509887703,0.11958855799096901,-0.04151861199539819
Dual Momentum - One-Rebalance Winner Grace v1,UNH,2021-12-01,2022-10-03,416.306291588444,472.1725477906183,210,0.13419508023530669,,0.22260125129395592,-0.01887879625074962,0.23332620926613568,-0.03018382499869865,2022-08-19,2021-12-01,181,30,210,0.11005517970676126,-0.20515639488257387,0.6028496221618066,0.08840617105864923,508.9765930175781,408.4469299316406,0.22260125129395592,,,,0.014150943396226415,sudden,0.24148004754470553,True,True,False,5,4,0.34887931751452306,0.010915129838777293,portfolio removal,-0.006530826809984958,False,False,late acceleration,0.029490210964233654,0.029490210964233654,-0.01887879625074962,0.03174973516117019,-0.03018382499869865,-0.004397581835793862,0.043918130962774304,-0.011871765507316945,0.011931241194542919,0.0450226097535964,-0.038139884522705114,0.08708679465948599,0.09055766652759778,-0.038139884522705114,0.049676738637600026,0.10061533757402863,-0.038139884522705114
Dual Momentum - One-Rebalance Winner Grace v1,AMGN,2022-06-01,2022-10-03,227.6105413736567,203.03206366044333,85,-0.10798479527740379,,0.0,-0.12287324618967599,0.0003489853272320431,-0.1274061119644807,2022-05-31,2022-09-21,0,86,8,-0.05417238949736769,-0.12287324618967599,,0.10798479527740379,227.6105413736567,199.64329528808594,0.0,1.0,-0.037226465553890864,-0.07075832972351292,0.9885057471264368,sudden,0.025478316012003566,False,False,True,4,3,0.17437744511306352,0.019688265380327197,portfolio removal,-0.006479509732951527,False,False,,-0.0444777418303961,-0.01729489153644903,-0.048239368633437696,0.0003489853272320431,-0.05626620734124388,0.0033295489147147084,0.03132251140546649,-0.008104464313705706,0.10106447016879216,0.10881846414050234,-0.008104464313705706,0.1995005084809225,0.20269852373640962,-0.008104464313705706,0.24662303011622821,0.2996454209743986,-0.008104464313705706
Dual Momentum - One-Rebalance Winner Grace v1,UNH,2022-11-01,2022-12-01,516.7938014037271,514.3354360342912,21,-0.004756955990490641,,0.0,-0.09367557864404341,0.0012432476421735394,-0.09771165242473256,2022-10-31,2022-11-15,0,22,11,-0.09367557864404341,-0.09367557864404341,,0.004756955990490641,516.7938014037271,468.3828430175781,0.0,1.0,-0.02084705593473246,0.01609009994424182,0.9565217391304348,sudden,0.08891862265355277,False,True,False,4,9,0.18613499644135878,0.13945807433704283,portfolio removal,0.03407530352088428,True,False,,-0.017981983150486602,-0.013855860254785912,-0.030324448373867607,0.0012432476421735394,-0.05019826315031606,-0.014078389588326301,0.0011586911894607699,-0.03592477730929211,-0.02234124225594647,0.0011586911894607699,-0.03592477730929211,-0.0377406696266831,0.0011586911894607699,-0.0634553479750054,-0.1178081035803139,0.0011586911894607699,-0.1378564745757479
Dual Momentum - One-Rebalance Winner Grace v1,TRV,2022-11-01,2023-01-03,172.35912617735428,175.0155475196424,42,0.015412130481299302,,0.035914667727569016,-0.028627079365141306,0.03993929860715184,-0.0373937611946491,2022-12-27,2022-11-15,39,4,32,0.023540166164057297,-0.03301841281335727,0.4291319245442596,0.020502537246269714,178.5493469238281,167.42498779296875,0.035914667727569016,10.0,-0.028627079365141306,0.04403920984644061,0.36363636363636365,sudden,0.06454174709271032,True,True,False,5,12,0.12815534019438135,0.0425386973812647,portfolio removal,-0.010502166713530992,False,False,recovery winner,-0.0035716772088552062,-0.0035716772088552062,-0.016072421192398267,0.002922277186837352,-0.023648637026557395,0.012907359632815307,0.04145429637246423,-0.007873178554140825,-0.009158899801244846,0.04145429637246423,-0.028654364665904652,0.02361912420668233,0.04177581025109145,-0.028654364665904652,-0.014246948740431198,0.04177581025109145,-0.05377342591377632
Dual Momentum - One-Rebalance Winner Grace v1,IBM,2023-01-03,2023-02-01,123.9415474163199,118.13535504539212,20,-0.04684621494537888,,0.03394758078901994,-0.047554806368458546,0.04309009496029503,-0.05754784994181472,2023-01-13,2023-01-27,9,12,3,-0.00489000921822047,-0.08150238715747848,,0.08079379573439882,128.14906311035156,118.04753112792969,0.03394758078901994,16.0,-0.047129697922330904,0.00028348297695202085,0.36363636363636365,sudden,0.00644920167859131,True,False,True,3,13,0.12380646886600166,0.05686992030280469,portfolio removal,-0.04283905269390753,False,False,,0.01736379621700035,0.018426875114281538,7.118978613895877e-05,0.030971156609626682,-0.007724745356350038,0.01003806263850815,0.018291339534845186,-0.012566007676251711,0.023723980549053447,0.034111195872226,-0.012566007676251711,-0.03513561872612847,0.034111195872226,-0.03852272676967761,-0.023694887286449307,0.034111195872226,-0.08390961209835412
Dual Momentum - One-Rebalance Winner Grace v1,AMGN,2022-11-01,2023-02-01,239.79258012026636,223.13884290081148,62,-0.06945059438912715,,0.08453270988653117,-0.06945059438912715,0.10040807649234051,-0.06672429483183029,2022-11-08,2023-02-01,6,57,0,-0.00603456888124021,-0.15398330427565832,,0.15398330427565832,260.0628967285156,223.13884290081148,0.08453270988653117,39.0,-0.023662515413738983,-0.04578807897538817,0.4375,gradual,0.0,True,False,True,3,8,0.2194305354053001,0.10707432458639365,portfolio removal,-0.016137921195857885,False,True,,0.027521997366765527,0.027521997366765527,-0.013798402081553696,0.029228309961244037,-0.03620200903563531,-0.020709650487719333,0.0032106641804927616,-0.05133262336039168,-0.02409868655202152,0.0032106641804927616,-0.05133262336039168,-0.043695261048697365,0.0032106641804927616,-0.06819099130510886,-0.02409861816953429,0.0032106641804927616,-0.08738268421553386
Dual Momentum - One-Rebalance Winner Grace v1,CVX,2022-02-01,2023-03-01,109.2486203515562,140.4461841990614,270,0.28556483136458044,,0.48707890723868874,0.0,0.49051559914979603,-0.0024459781375834044,2023-01-26,2022-01-31,248,23,271,0.2180110316457462,-0.35190766544421925,0.5862804303793059,0.2015140758741083,162.46131896972656,109.2486203515562,0.48707890723868874,,,,0.0,sudden,0.48707890723868874,True,True,False,2,24,0.291453062791835,-0.06602302496702384,portfolio removal,0.0026192589840157154,False,False,late acceleration,0.05900790243770637,0.05900790243770637,0.025758546268507265,0.06573410918889544,-0.0024459781375834044,0.0193263189012729,0.03653982331026051,-0.011732068049811306,-0.0009945510727795703,0.03653982331026051,-0.0442458026921847,-0.017461236292157678,0.03653982331026051,-0.07647894322808202,0.03144426689231161,0.07432259653254891,-0.07647894322808202
Dual Momentum - One-Rebalance Winner Grace v1,GS,2023-02-01,2023-03-01,329.84229079050596,323.22132920588825,19,-0.020073113028501566,,0.044555670615125775,-0.02074625627418114,0.057309720587461976,-0.02163739341537263,2023-02-08,2023-02-28,6,14,1,0.035310344600652854,-0.06530192688930692,,0.06462878364362734,344.53863525390625,322.9992980957031,0.044555670615125775,18.0,-0.02074625627418114,0.000673143245679575,0.09523809523809523,sudden,0.000673143245679575,True,False,True,3,6,0.22184326020478595,0.10871236714411081,portfolio removal,-0.02560322558698569,False,True,,0.04260623784362538,0.04260623784362538,0.018407087828500535,0.047925099395129456,-0.0009468012590136965,-0.009473752887327547,0.027104210028803255,-0.02547315321489818,-0.0779646717399527,0.027104210028803255,-0.09974547245578114,-0.08858318170859325,0.027104210028803255,-0.1360087619623963,-0.03672135705248314,0.027104210028803255,-0.1360087619623963
Dual Momentum - One-Rebalance Winner Grace v1,JPM,2023-03-01,2023-04-03,131.0882772898551,119.84290532067578,23,-0.08578472615300448,,0.010978424492588568,-0.1209710951356151,0.013652294329077774,-0.13363825280874542,2023-03-03,2023-03-24,3,21,6,-0.07987338300549818,-0.13194951962820367,,0.09676315064559304,132.5274200439453,115.23038482666016,0.010978424492588568,4.0,-0.02448979253173822,-0.06129493362126626,0.84,sudden,0.03800127448032942,True,True,False,5,10,0.13558167858712888,0.18656093228278725,portfolio removal,0.014164458565592453,False,True,,-0.02448979253173822,0.010978424492588568,-0.02448979253173822,0.013652294329077774,-0.03018998669034123,-0.007823077452375982,0.011777374614478031,-0.02077900560807222,0.0848077752709524,0.0865920930156876,-0.02077900560807222,0.09543659346206712,0.11227154709793519,-0.02077900560807222,0.06642127833947864,0.11227154709793519,-0.02077900560807222
Dual Momentum - One-Rebalance Winner Grace v1,CSCO,2023-04-03,2023-05-01,47.37974458802087,43.279340665079026,19,-0.08654339441033121,,0.004802151237135011,-0.09931629667018549,0.011962899545330696,-0.11034747937030309,2023-04-03,2023-04-26,1,19,3,-0.026936574850803918,-0.1041184479073205,,0.09134554564746622,47.607269287109375,42.674163818359375,0.004802151237135011,5.0,-0.02035646839099503,-0.06618692601933618,0.8095238095238095,sudden,0.013740310892661367,False,False,True,3,19,0.2585819364987909,0.061617442200990746,portfolio removal,-0.0029544146305940933,False,True,,-0.006615996471831753,0.004802151237135011,-0.00777723909018091,0.011962899545330696,-0.018227818269320295,-0.020127195801175835,0.006779654441774419,-0.0347457404307876,-0.010381588756705584,0.006779654441774419,-0.0347457404307876,0.05635582905151493,0.06122870017358406,-0.0347457404307876,0.07754235286744127,0.11038120078096725,-0.0347457404307876
Dual Momentum - One-Rebalance Winner Grace v1,CAT,2022-12-01,2023-06-01,223.71681470566426,198.12783695977663,124,-0.11438111068921697,,0.12199905882012763,-0.12261122905760624,0.12836104012302152,-0.1299033709202594,2023-01-27,2023-05-31,39,86,1,0.08285171389191603,-0.24461028787773387,,0.2363801695093446,251.0100555419922,196.28662109375,0.12199905882012763,3.0,-0.03634464281971794,-0.07803646786949903,0.5714285714285714,sudden,0.008230118368389272,True,False,True,3,11,0.25018841032950023,0.09106373421546854,portfolio removal,-0.01883622949571795,False,True,,-0.03343191322551475,-0.0032503599052460252,-0.03634464281971794,0.006627209481893326,-0.04786847253320403,0.13419687182075202,0.13809709124438596,-0.007896761592286361,0.17161023224285676,0.1956857335780533,-0.007896761592286361,0.17604012740722563,0.20806057237069453,-0.007896761592286361,0.2602066722477585,0.2842562473620047,-0.007896761592286361
Dual Momentum - One-Rebalance Winner Grace v1,WMT,2023-03-01,2023-06-01,45.152119321930044,47.170923993510534,64,0.04471118303853294,,0.09408509870985471,-0.02899474582175887,0.10287360363200926,-0.035233179557778826,2023-05-11,2023-03-10,51,14,57,0.06431901485370317,-0.05044575721642408,0.4752206635443513,0.049373915671321766,49.40026092529297,43.84294509887695,0.09408509870985471,5.0,-0.020984004116521682,0.06569518715505462,0.22727272727272727,sudden,0.12307984453161358,True,True,False,4,7,0.1371996137419309,0.11822861123479456,portfolio removal,-0.005147982058470446,False,False,recovery winner,-0.012831326849842672,-0.002764631640028825,-0.012831326849842672,0.004395334405461471,-0.016092398339454306,0.025921666274184352,0.03447092172382615,-0.001846662009506006,0.07290880711692393,0.07605493427656596,-0.001846662009506006,0.055194547543413686,0.08221046849974667,-0.001846662009506006,0.09370072388998052,0.10074540267013732,-0.001846662009506006
Dual Momentum - One-Rebalance Winner Grace v1,MRK,2022-05-02,2023-08-01,78.00138243144183,99.92799474770057,313,0.28110543214449835,,0.374550250534601,-0.041929743885719906,0.3892967443881923,-0.056248036172424465,2023-05-08,2022-06-13,256,58,284,0.27050427041652125,-0.1440580218355998,0.7505146018278521,0.09344481839010266,107.2168197631836,74.73080444335938,0.374550250534601,29.0,-0.041929743885719906,0.32303517603021825,0.12380952380952381,sudden,0.4164799944203209,True,True,False,3,18,0.18560298956901278,0.10583530708539546,portfolio removal,-0.008183645222797242,False,False,recovery winner,-0.003719674531609596,-0.002254367688194203,-0.018259575619269608,0.0022541614224789175,-0.02660057972141472,-0.032025633347519955,0.0,-0.04726284209194409,-0.006295512681287585,0.0,-0.04726284209194409,-0.0061131914590252245,0.022080183705382117,-0.04726284209194409,-0.03185690223311466,0.022080183705382117,-0.04726284209194409
Dual Momentum - One-Rebalance Winner Grace v1,JPM,2023-05-01,2023-09-01,132.26583373334603,136.75954535978775,86,0.03397484822498642,,0.11826993301601973,-0.057359969692538426,0.1280367399029272,-0.07345708183940425,2023-07-24,2023-05-12,58,29,77,0.030577758389497278,-0.08429508479103331,0.2872653036878317,0.08429508479103331,147.90890502929688,124.67906951904297,0.11826993301601973,1.0,-0.023478265096225415,0.057453113321211835,0.42045454545454547,gradual,0.17562990270855816,True,True,False,3,10,0.23342757433330563,0.09540201736825038,portfolio removal,-0.004896375044171952,False,False,recovery winner,-0.038802138949075804,-0.007451128915535232,-0.057219224935326385,0.007802619522090604,-0.07345708183940425,-0.015469777371469595,0.014511926244939799,-0.02354704539438568,0.018618600141614428,0.026079918733414198,-0.02354704539438568,-0.007324216845027376,0.028475705805584228,-0.02354704539438568,-0.06433533036059114,0.05578604147852251,-0.06778313289874571
Dual Momentum - One-Rebalance Winner Grace v1,BA,2023-02-01,2023-10-02,212.11000061035156,191.47000122070312,167,-0.09730799740821439,,0.1260666890585973,-0.10221115398701419,0.14610346237324778,-0.10409693917080265,2023-07-31,2023-09-28,124,44,2,-0.019565291049656652,-0.2282778430456115,,0.2233746864668117,238.85000610351562,190.42999267578125,0.1260666890585973,2.0,-0.028758691650382917,-0.06854930575783147,0.6094674556213018,sudden,0.005893168621956102,True,False,True,1,14,0.43106695270574913,0.01751771795006385,portfolio removal,-0.035717909986500596,False,False,,0.012493488703309463,0.012493488703309463,-0.028758691650382917,0.03234171227481841,-0.03969637520492464,-0.02136102946579177,0.005327227586347627,-0.046586922818595666,-0.03426122900073625,0.042565382799000684,-0.046586922818595666,-0.061523991769960595,0.042565382799000684,-0.07949026543933313,0.14534914949405398,0.15730921254065722,-0.07949026543933313
Dual Momentum - One-Rebalance Winner Grace v1,CAT,2023-08-01,2023-10-02,261.4935381022517,261.3881173234106,43,-0.0004031486957810637,,0.05829511969380152,-0.0126489741976753,0.07747040606192379,-0.014482085735345485,2023-08-01,2023-08-24,1,43,26,0.03512394463226398,-0.07094409389147682,,0.058698268389582586,276.7373352050781,258.1859130859375,0.05829511969380152,,,,0.15555555555555556,sudden,0.06214489428375691,True,True,False,4,6,0.3668128342895265,0.15781037704449186,portfolio removal,-0.004630487170238284,False,True,,0.032630661074306344,0.05829511969380152,0.013528869292230628,0.07747040606192379,-0.008249312557287003,-0.02420791758225138,0.015294830861615871,-0.05270710302542425,-0.01723864212447801,0.015294830861615871,-0.05270710302542425,-0.1204787915518778,0.015294830861615871,-0.12305953504671607,-0.08792425547112748,0.015294830861615871,-0.1750433351815447
Dual Momentum - One-Rebalance Winner Grace v1,CSCO,2023-10-02,2023-11-01,49.7421519977688,48.42639317519534,22,-0.026451586224747192,,0.013208550744506109,-0.038985891619276236,0.021252863655405463,-0.04422397498887276,2023-10-16,2023-10-26,11,12,4,0.009092859124178121,-0.052194442363782345,,0.0396601369692533,50.399173736572266,47.80290985107422,0.013208550744506109,15.0,-0.023458429421817084,-0.002993156802930108,0.5416666666666666,gradual,0.0142178368075484,True,True,False,5,7,0.16869753463910997,0.0951726472113088,portfolio removal,-0.005152667650041964,False,False,,-7.375171090073795e-05,0.010215438995204273,-0.007182708459389842,0.010401214184694085,-0.01634943834003455,0.020945499317603478,0.027094418307723522,-0.004611869220686238,0.021714009712106686,0.02805536193361169,-0.005572775462969748,-0.07667186313597085,0.02805536193361169,-0.11222148459084968,-0.029977215678892888,0.02805536193361169,-0.11222148459084968
