date,equity
2022-04-05,10450.141244820501
2022-04-06,10521.725022212055
2022-04-07,10581.888260478501
2022-04-08,10674.807993726645
2022-04-11,10540.08238292297
2022-04-12,10609.160806923224
2022-04-13,10681.335182830257
2022-04-14,10625.83268037091
2022-04-18,10641.327411915614
2022-04-19,10576.216271500114
2022-04-20,10664.448328664474
2022-04-21,10509.75616334873
2022-04-22,10272.485824884938
2022-04-25,10292.958073967955
2022-04-26,10114.936476677944
2022-04-27,10135.729352286138
2022-04-28,10366.859509238162
2022-04-29,10072.712253433856
2022-05-02,10001.195975875595
2022-05-03,10026.54946819603
2022-05-04,10260.074750189351
2022-05-05,10123.740078585399
2022-05-06,10211.714603392926
2022-05-09,9994.024116548657
2022-05-10,10017.977618768879
2022-05-11,10074.857087023984
2022-05-12,10120.982937896593
2022-05-13,10208.78759736319
2022-05-16,10361.390256741724
2022-05-17,10431.57148707611
2022-05-18,10090.502682104858
2022-05-19,10006.77948313892
2022-05-20,10098.698303290927
2022-05-23,10284.519559637403
2022-05-24,10393.762362414776
2022-05-25,10409.451295386703
2022-05-26,10430.59346689237
2022-05-27,10535.999764536613
2022-05-31,10398.198751875922
2022-06-01,10322.12289580851
2022-06-02,10271.40718290748
2022-06-03,10236.842415502593
2022-06-06,10217.686732385308
2022-06-07,10321.1654222677
2022-06-08,10275.15558876647
2022-06-09,10115.949025216007
2022-06-10,10025.424102943376
2022-06-13,9789.952597301699
2022-06-14,9699.800686095363
2022-06-15,9688.37456348421
2022-06-16,9504.06245668546
2022-06-17,9441.60442008405
2022-06-21,9783.199179067153
2022-06-22,9798.003128479713
2022-06-23,9889.395513335714
2022-06-24,9982.13803202472
2022-06-27,10077.971815582876
2022-06-28,10028.183116637547
2022-06-29,10068.381798260603
2022-06-30,9991.79764558987
2022-07-01,10119.277689339657
2022-07-05,9998.74335614793
2022-07-06,10015.040702148035
2022-07-07,10048.296616265412
2022-07-08,10065.649953383292
2022-07-11,10063.10250312448
2022-07-12,9987.211852142764
2022-07-13,9918.47484136834
2022-07-14,9878.824840356543
2022-07-15,10068.417706968003
2022-07-18,9929.784719826188
2022-07-19,10110.618023652629
2022-07-20,9984.209259988553
2022-07-21,9979.902898888882
2022-07-22,9967.302351465278
2022-07-25,10108.524599718314
2022-07-26,10169.946033616163
2022-07-27,10205.380198243112
2022-07-28,10236.522099854064
2022-07-29,10394.382150242116
2022-08-01,10339.066241514955
2022-08-02,10275.204497681292
2022-08-03,10290.94358506013
2022-08-04,10189.863673560976
2022-08-05,10224.810469716735
2022-08-08,10225.255290630794
2022-08-09,10241.119742107616
2022-08-10,10331.323281654548
2022-08-11,10333.057927936943
2022-08-12,10416.836619396576
2022-08-15,10444.49541944704
2022-08-16,10505.609664001324
2022-08-17,10527.473248866967
2022-08-18,10587.929558384902
2022-08-19,10579.46904594167
2022-08-22,10444.916100455945
2022-08-23,10446.184852469072
2022-08-24,10443.12267741546
2022-08-25,10513.265502259717
2022-08-26,10299.935309803795
2022-08-29,10293.621150157485
2022-08-30,10182.517974968456
2022-08-31,10113.534592672051
2022-09-01,10185.992564291928
2022-09-02,10110.291086329402
2022-09-06,10110.249289110543
2022-09-07,10169.042492463783
2022-09-08,10214.809593405012
2022-09-09,10284.177123309417
2022-09-12,10284.682139989674
2022-09-13,9976.407841699558
2022-09-14,10063.233942358214
2022-09-15,10044.6005473098
2022-09-16,10035.949105452952
2022-09-19,10037.634708325868
2022-09-20,9982.987810044375
2022-09-21,9846.13410592693
2022-09-22,9959.312790542155
2022-09-23,9768.046805146607
2022-09-26,9659.208134433336
2022-09-27,9595.36432845959
2022-09-28,9762.440978387445
2022-09-29,9691.093597514042
2022-09-30,9606.394314840938
2022-10-03,9866.30573979861
2022-10-04,10106.164353376376
2022-10-05,10135.561838006533
2022-10-06,10176.65689448214
2022-10-07,10140.228363047483
2022-10-10,10207.432222447389
2022-10-11,10240.397612913746
2022-10-12,10220.396434115519
2022-10-13,10586.111924993033
2022-10-14,10400.817624038233
2022-10-17,10547.893925798535
2022-10-18,10621.448730971322
2022-10-19,10718.16673935442
2022-10-20,10731.569406472821
2022-10-21,11022.929615370935
2022-10-24,11116.362879815548
2022-10-25,11194.23842209073
2022-10-26,11304.07430296687
2022-10-27,11405.160706550092
2022-10-28,11530.901028448456
2022-10-31,11585.081444490055
2022-11-01,11569.61766483594
2022-11-02,11465.556746091706
2022-11-03,11451.362331071134
2022-11-04,11510.91102249174
2022-11-07,11670.034469653983
2022-11-08,11875.993337177775
