date,equity
2022-09-21,9728.681631881032
2022-09-22,9722.970813522103
2022-09-23,9625.564562247482
2022-09-26,9598.98967535314
2022-09-27,9533.330863228563
2022-09-28,9635.72329757258
2022-09-29,9428.062592189226
2022-09-30,9241.408826428222
2022-10-03,9451.200285537507
2022-10-04,9622.260933497544
2022-10-05,9609.875102144253
2022-10-06,9466.406414943365
2022-10-07,9245.44525340261
2022-10-10,9222.794402685293
2022-10-11,9219.01983418921
2022-10-12,9234.571601622629
2022-10-13,9494.519597447892
2022-10-14,9321.043676810541
2022-10-17,9521.037616269781
2022-10-18,9586.80099259681
2022-10-19,9553.812908228363
2022-10-20,9512.602644441165
2022-10-21,9720.794049769673
2022-10-24,9876.32704810176
2022-10-25,9988.417969744038
2022-10-26,9833.18706265582
2022-10-27,9809.194069028052
2022-10-28,10174.644782657608
2022-10-31,10057.23324287658
2022-11-01,9970.958245676735
2022-11-02,9757.986862797241
2022-11-03,9682.586547407162
2022-11-04,9802.219535378537
2022-11-07,9914.880095926826
2022-11-08,9965.293399602993
2022-11-09,9829.62217568518
2022-11-10,10222.832547848717
2022-11-11,10174.572869278123
2022-11-14,10148.176591211035
2022-11-15,10178.22039056014
2022-11-16,10192.00047770288
2022-11-17,10244.415404318748
2022-11-18,10270.13420823912
2022-11-21,10267.265096428413
2022-11-22,10361.513870140761
2022-11-23,10387.900638315048
2022-11-25,10375.291499285648
2022-11-28,10217.600677978679
2022-11-29,10149.481551506073
2022-11-30,10439.326286446392
2022-12-01,10431.976322598415
2022-12-02,10450.517832895399
2022-12-05,10364.265191424563
2022-12-06,10273.420825470255
2022-12-07,10263.53525170191
2022-12-08,10329.101148447562
2022-12-09,10247.222177071339
2022-12-12,10390.426154828263
2022-12-13,10407.776979751916
2022-12-14,10405.689438332953
2022-12-15,10220.132148000419
2022-12-16,10143.102494458713
2022-12-19,10115.361547731074
2022-12-20,10145.228239683913
2022-12-21,10261.276029341161
2022-12-22,10179.548658354963
2022-12-23,10235.865105613566
2022-12-27,10254.285886565618
2022-12-28,10160.094418634038
2022-12-29,10231.613342608183
2022-12-30,10199.137744346948
2023-01-03,10214.504522667641
2023-01-04,10189.671256120198
2023-01-05,10052.333554538734
2023-01-06,10281.12958857984
2023-01-09,10199.38837728654
2023-01-10,10214.192089790684
2023-01-11,10232.628884520627
2023-01-12,10206.196690428964
2023-01-13,10224.521571631098
2023-01-17,10184.719991027689
2023-01-18,9899.522686655351
2023-01-19,9827.80898055391
2023-01-20,9895.71815111127
2023-01-23,9949.273126365608
2023-01-24,9998.346826023122
2023-01-25,10055.965654074658
2023-01-26,10099.089739798856
2023-01-27,10059.417004779092
2023-01-30,9945.155053576276
2023-01-31,10001.315323436867
2023-02-01,10011.732268403359
2023-02-02,10029.724013288687
2023-02-03,10049.28252779732
2023-02-06,9962.79909515106
2023-02-07,9991.63022287412
2023-02-08,9952.065279168135
2023-02-09,9907.858853621447
2023-02-10,9965.234535193875
2023-02-13,10079.393922191304
2023-02-14,10007.52998035298
2023-02-15,10007.59895934275
2023-02-16,10033.951392887719
2023-02-17,10087.568622236216
2023-02-21,9909.650245597652
2023-02-22,9900.080010105807
2023-02-23,9901.288800652192
2023-02-24,9827.863399692986
2023-02-27,9821.200106321563
2023-02-28,9759.216096400349
2023-03-01,9723.329271479011
2023-03-02,9798.423172129347
2023-03-03,9889.468175516107
2023-03-06,9959.558205254045
2023-03-07,9843.78113979534
2023-03-08,9821.473495366876
2023-03-09,9719.531686482387
2023-03-10,9700.911427661244
2023-03-13,9729.445673354578
2023-03-14,9807.582943516409
2023-03-15,9784.450808575757
2023-03-16,9826.237836845456
2023-03-17,9750.175067441249
2023-03-20,9879.736997003225
2023-03-21,9908.219178394475
2023-03-22,9798.356868008252
2023-03-23,9812.416550801725
2023-03-24,9904.455908006894
2023-03-27,9921.893203855996
2023-03-28,9897.327143721646
2023-03-29,9975.276375028468
2023-03-30,9977.667084990888
2023-03-31,10068.954694716087
2023-04-03,10150.87161899827
2023-04-04,10159.930632828768
2023-04-05,10290.032833758243
2023-04-06,10257.455343427504
2023-04-10,10231.005173509106
2023-04-11,10213.125358274647
2023-04-12,10192.102271823374
2023-04-13,10315.416609187778
2023-04-14,10299.991429395142
2023-04-17,10296.753242559287
2023-04-18,10243.850981522379
2023-04-19,10170.23625860691
2023-04-20,10161.708093478159
2023-04-21,10236.913153914844
2023-04-24,10252.860232085679
2023-04-25,10229.63953726322
2023-04-26,10127.68227757713
2023-04-27,10171.081416934656
2023-04-28,10254.269060177941
2023-05-01,10268.077030879032
2023-05-02,10229.613137940476
2023-05-03,10159.872072271995
2023-05-04,10139.620185699432
2023-05-05,10227.29525939527
2023-05-08,10214.460484615347
2023-05-09,10169.716608340354
2023-05-10,10166.81153106567
2023-05-11,10164.112837067058
2023-05-12,10202.711247218982
2023-05-15,10193.473369833222
2023-05-16,10131.530055876887
2023-05-17,10130.680907578286
2023-05-18,10092.080905774788
2023-05-19,10114.671087688428
2023-05-22,9948.227885864077
2023-05-23,9843.072882683307
2023-05-24,9784.876360113645
2023-05-25,9736.306177924744
2023-05-26,9748.864687335257
2023-05-30,9667.141567855697
2023-05-31,9659.022671326655
2023-06-01,9764.396917545984
2023-06-02,9899.423788105432
2023-06-05,9863.632351852992
2023-06-06,9815.566017804864
2023-06-07,9776.065359117038
2023-06-08,9839.048487124888
2023-06-09,9867.428054938597
2023-06-12,9891.720965104112
2023-06-13,9886.41434538652
2023-06-14,9938.447978384145
2023-06-15,10056.557950363876
2023-06-16,10087.756446183515
2023-06-20,10011.865115060293
2023-06-21,10055.582042980457
2023-06-22,10094.81864887552
2023-06-23,10036.583570830679
2023-06-26,9999.964353845327
2023-06-27,10031.526673820545
2023-06-28,10032.087798756864
2023-06-29,10067.616369738766
2023-06-30,10198.8672737436
2023-07-03,10185.93239006108
2023-07-05,10214.913164854157
2023-07-06,10172.636956856988
2023-07-07,10046.533124267833
2023-07-10,10058.644737322287
2023-07-11,10079.435252064035
2023-07-12,10133.294934638516
2023-07-13,10153.604267869367
2023-07-14,10177.463452688196
2023-07-17,10216.916575659101
