formation_date,entry_date,exit_date,n_holdings,gross_return,net_return,turnover,cost,short_gross_return,spread_gross_return,short_turnover,median_marketcap,median_adv_proxy
2003-07-24,2003-07-25,2003-08-22,251,0.08882080934889447,0.08851807497389447,0.302734375,0.000302734375,0.07094643412115809,0.017874375227736383,0.341796875,833.4000000000001,
2003-08-21,2003-08-22,2003-09-22,255,0.05408062457629707,0.05380718707629707,0.2734375,0.0002734375,0.03665381014679145,0.017426814429505624,0.328125,805.05,
2003-09-19,2003-09-22,2003-10-20,256,0.02745648686072899,0.027213296199250392,0.24319066147859922,0.0002431906614785992,0.017332374781155985,0.010124112079573006,0.301556420233463,892.8,
2003-10-17,2003-10-20,2003-11-17,260,0.02119131815995633,0.020957601684860546,0.23371647509578544,0.00023371647509578546,0.026920971761243397,-0.0057296536012870665,0.24521072796934865,952.2,
2003-11-14,2003-11-17,2003-12-16,267,-0.03027181083109326,-0.030576643544847907,0.3048327137546468,0.0003048327137546468,0.03167439350793982,-0.06194620433903308,0.30855018587360594,882.8,
2003-12-15,2003-12-16,2004-01-15,283,0.12152497086548586,0.12120341609516784,0.3215547703180212,0.0003215547703180212,0.1100742094057275,0.01145076145975836,0.34275618374558303,794.4,
2004-01-14,2004-01-15,2004-02-13,293,-0.0011312404547100998,-0.0014803929970829811,0.34915254237288135,0.00034915254237288134,0.00382176587394629,-0.00495300632865639,0.27796610169491526,797.3,
2004-02-12,2004-02-13,2004-03-15,301,-0.05941508163511958,-0.05972468428412621,0.30960264900662254,0.00030960264900662255,-0.02691566284422727,-0.03249941879089231,0.35927152317880795,753.2,
2004-03-12,2004-03-15,2004-04-13,307,0.07882162760307765,0.07852162760307765,0.3,0.0003,0.03795610626102249,0.04086552134205516,0.3161290322580645,792.7,
2004-04-12,2004-04-13,2004-05-11,311,-0.15238870241870728,-0.15267214190915313,0.28343949044585987,0.0002834394904458599,-0.12557235014070692,-0.02681635227800036,0.3057324840764331,823.05,
2004-05-10,2004-05-11,2004-06-09,317,0.07506998753224062,0.07466686253224061,0.403125,0.000403125,0.09486970784939641,-0.019799720317155795,0.38125,748.9000000000001,
2004-06-08,2004-06-09,2004-07-09,316,-0.024867712488989446,-0.025172060315076402,0.30434782608695654,0.00030434782608695655,-0.06281156659188229,0.037943854102892846,0.3447204968944099,864.45,
2004-07-08,2004-07-09,2004-08-06,321,-0.09027629296420688,-0.0905615690378265,0.2852760736196319,0.00028527607361963187,-0.10541603847703745,0.01513974551283058,0.2852760736196319,849.05,
2004-08-05,2004-08-06,2004-09-03,325,0.04773815950832419,0.047397668710778176,0.34049079754601225,0.00034049079754601224,0.043635182674936906,0.004102976833387284,0.3588957055214724,891.25,
2004-09-02,2004-09-03,2004-10-04,326,0.06750927540565686,0.06723320178602496,0.27607361963190186,0.00027607361963190183,0.07574848537792732,-0.008239209972270456,0.25153374233128833,963.7,
2004-10-01,2004-10-04,2004-11-01,317,-0.0003211816208109784,-0.0005696478784796901,0.24846625766871167,0.0002484662576687117,0.00493456837474628,-0.005255749995557259,0.26380368098159507,1005.5,
2004-10-29,2004-11-01,2004-11-30,313,0.09590859826083113,0.09556641076083114,0.3421875,0.0003421875,0.11531332396893888,-0.01940472570810775,0.3578125,990.8,
2004-11-29,2004-11-30,2004-12-29,308,0.03707304701956448,0.036769872416389876,0.30317460317460315,0.00030317460317460317,0.04252255656722714,-0.005449509547662663,0.29365079365079366,1011.0,
2004-12-28,2004-12-29,2005-01-27,313,-0.06383744411428303,-0.06414636131173526,0.3089171974522293,0.0003089171974522293,-0.07685604316543788,0.01301859905115485,0.27070063694267515,1097.6,
2005-01-26,2005-01-27,2005-02-25,313,0.04732480105437868,0.04701210264168027,0.3126984126984127,0.0003126984126984127,0.00964019130963538,0.0376846097447433,0.33174603174603173,993.6,
2005-02-24,2005-02-25,2005-03-28,316,-0.022438808539462014,-0.022744188286297456,0.30537974683544306,0.0003053797468354431,-0.01099762657258423,-0.011441181966877784,0.3180379746835443,1110.2,
2005-03-24,2005-03-28,2005-04-25,315,-0.04553784521307316,-0.04584916596779014,0.3113207547169811,0.00031132075471698115,-0.07018181956935592,0.02464397435628276,0.32075471698113206,1038.5,
2005-04-22,2005-04-25,2005-05-23,317,0.024565929367729486,0.024266556326977134,0.2993730407523511,0.0002993730407523511,0.023789257164425617,0.0007766722033038694,0.3338557993730408,1079.75,
2005-05-20,2005-05-23,2005-06-21,321,0.06807634025438372,0.0677791266320927,0.29721362229102166,0.00029721362229102167,0.0697532828212386,-0.0016769425668548832,0.3126934984520124,1077.5,
2005-06-20,2005-06-21,2005-07-20,326,0.044398580845073796,0.0441098270456817,0.2887537993920973,0.00028875379939209727,0.03778772070468171,0.006610860140392083,0.270516717325228,1099.2,
2005-07-19,2005-07-20,2005-08-17,324,-0.009409086194204528,-0.009668177103295436,0.2590909090909091,0.00025909090909090907,-0.004055724390204802,-0.005353361803999726,0.28939393939393937,1012.8,
2005-08-16,2005-08-17,2005-09-15,327,0.04571457463972366,0.045381241306390326,0.3333333333333333,0.0003333333333333333,0.006594435925713428,0.03912013871401023,0.3303030303030303,876.0,
2005-09-14,2005-09-15,2005-10-13,327,-0.07451860605126236,-0.07477691420836205,0.2583081570996979,0.0002583081570996979,-0.07211422571438374,-0.00240438033687862,0.2854984894259819,916.4,
2005-10-12,2005-10-13,2005-11-10,327,0.0691197823106547,0.06881162521095682,0.3081570996978852,0.0003081570996978852,0.039948857386540304,0.029170924924114397,0.33534743202416917,863.0,
2005-11-09,2005-11-10,2005-12-09,325,0.05544736001462778,0.05509325667116274,0.3541033434650456,0.00035410334346504556,0.057272183316902814,-0.0018248233022750346,0.34498480243161095,848.45,
2005-12-08,2005-12-09,2006-01-10,320,0.038468527270313774,0.038188039465435725,0.2804878048780488,0.0002804878048780488,0.033967558503502714,0.00450096876681106,0.2774390243902439,937.5,
2006-01-09,2006-01-10,2006-02-08,323,0.03405740291725092,0.03378770594755395,0.2696969696969697,0.00026969696969696974,0.024285143211436582,0.00977225970581434,0.2878787878787879,1144.2,
2006-02-07,2006-02-08,2006-03-09,330,-0.00163556542470337,-0.0019699027741009604,0.33433734939759036,0.0003343373493975903,-0.0050771232397950755,0.0034415578150917055,0.3433734939759036,999.5,
2006-03-08,2006-03-09,2006-04-06,330,0.1007022312107139,0.10041181204903725,0.2904191616766467,0.0002904191616766467,0.051813625244498694,0.0488886059662152,0.344311377245509,1117.1,
2006-04-05,2006-04-06,2006-05-05,334,0.03608050842879129,0.03582157985736272,0.25892857142857145,0.00025892857142857146,0.018014634675841502,0.01806587375294979,0.2976190476190476,1161.65,
2006-05-04,2006-05-05,2006-06-05,333,-0.08018549797084085,-0.08046377178036465,0.27827380952380953,0.00027827380952380953,-0.047230253880080925,-0.03295524409075992,0.32589285714285715,1088.9,
2006-06-02,2006-06-05,2006-07-03,337,-0.027567111036470845,-0.027825986776115814,0.2588757396449704,0.00025887573964497037,-0.04036944490268915,0.012802333866218304,0.2973372781065089,1063.45,
2006-06-30,2006-07-03,2006-08-01,339,-0.06827509278634167,-0.06852803396281226,0.2529411764705882,0.0002529411764705882,-0.056648600891881014,-0.011626491894460654,0.2911764705882353,976.6500000000001,
2006-07-31,2006-08-01,2006-08-29,338,0.00477215786158267,0.0044417485048575235,0.3304093567251462,0.0003304093567251462,0.029362728105892497,-0.02459057024430983,0.3333333333333333,1023.9,
2006-08-28,2006-08-29,2006-09-27,340,0.0033781953424208214,0.0030845906912580308,0.2936046511627907,0.0002936046511627907,0.04580250448050697,-0.04242430913808615,0.29651162790697677,1015.3499999999999,
2006-09-26,2006-09-27,2006-10-25,338,0.05192864173033521,0.051581258009404975,0.34738372093023256,0.00034738372093023255,0.04874053984937114,0.0031881018809640643,0.30377906976744184,1136.75,
2006-10-24,2006-10-25,2006-11-22,337,0.0372362896825945,0.03693773895795682,0.2985507246376812,0.00029855072463768115,0.050124948620733564,-0.012888658938139064,0.2753623188405797,1025.2,
2006-11-21,2006-11-22,2006-12-21,340,-0.00024683854917919906,-0.0006471275665202395,0.40028901734104044,0.0004002890173410404,0.004409157170468418,-0.004655995719647617,0.3511560693641618,1089.5500000000002,
2006-12-20,2006-12-21,2007-01-24,337,0.01183190349603697,0.011531325461354889,0.30057803468208094,0.00030057803468208096,0.0012596009009202926,0.010572302595116677,0.33815028901734107,1060.45,
2007-01-23,2007-01-24,2007-02-22,334,0.07315757963268187,0.07284201767302768,0.31556195965417866,0.0003155619596541786,0.06197873955217813,0.011178840080503738,0.3242074927953891,1023.4,
2007-02-21,2007-02-22,2007-03-22,347,-0.005780421592334419,-0.006138180213024075,0.3577586206896552,0.00035775862068965523,-0.02936936413839371,0.023588942546059293,0.37212643678160917,1068.3,
2007-03-21,2007-03-22,2007-04-20,339,0.03491829036950425,0.03465966967984908,0.25862068965517243,0.0002586206896551724,0.04082135316635508,-0.005903062796850829,0.3275862068965517,1156.25,
2007-04-19,2007-04-20,2007-05-18,339,0.008542227260503861,0.008273549099584322,0.2686781609195402,0.00026867816091954023,-0.022020991473356708,0.03056321873386057,0.2744252873563218,1221.5,
2007-05-17,2007-05-18,2007-06-18,340,0.05151943693544009,0.05120531589797611,0.31412103746397696,0.00031412103746397696,0.034816491117465306,0.016702945817974782,0.3515850144092219,1463.7,
