date,Q1,Q2,Q3,Q4,Q5,horizon
2001-11-19,-0.014888450849819527,-0.009993493919416034,-0.011597086295844782,-0.007616196042833804,-0.01814485213238449,1
2001-11-20,-0.008979166936970467,-0.005331584260164901,-0.007168489131287642,-0.004968970024310149,-0.007313342136516618,1
2001-11-21,0.018969426519210693,0.015161497161258832,0.015091857115092037,0.013446837209096967,0.013495571723234467,1
2001-11-23,0.0076371187308316504,0.008136683649929546,0.005600305643874869,0.006640449163463254,0.01361118456638261,1
2001-11-26,0.00829783653986664,-0.001164663180548323,0.0008929776890143317,0.0004980287948240893,0.0002098034522327321,1
2001-11-27,-0.031253620121508986,-0.023384819640817584,-0.012040151143421425,-0.014620221077806883,-0.020197193980577045,1
2001-11-28,0.01602186174223161,0.0174241225340146,0.015515167171426836,0.015499669203002234,0.021447928309356663,1
2001-11-29,-0.0007369069344827162,-0.003130958490016689,-0.0010529128720819093,0.0004942539116807805,-0.0017765113232420977,1
2001-11-30,-0.014290803228913917,-0.0097423090777279,-0.007311105916716276,-0.004362583611866565,-0.006195691334815198,1
2001-12-03,0.030596389258664727,0.027048443057654897,0.025632031584713482,0.020416295355053873,0.029379208355477096,1
2001-12-04,0.04380751039887895,0.03786224918409698,0.033545594502722424,0.028381276724527824,0.04143068902418675,1
2001-12-05,0.009234744426888403,0.00689396429893857,-0.0002101911225128645,0.0040111128247855635,0.0004912296083688235,1
2001-12-06,-0.005281434418171722,-0.004490070809543241,-0.0036087907076114345,-0.004920638888387281,-0.004825497898678397,1
2001-12-07,-0.014523001433885458,-0.016392494253433566,-0.013664083415763873,-0.013770257446127105,-0.015043726583340007,1
2001-12-10,0.0009333813687923893,0.0033955383123384906,0.0016169186182805888,0.002197998769799535,0.0018984858131545562,1
2001-12-11,0.004114098981684458,0.00530803128604472,0.00202792979685203,0.0012591205543482386,0.002902109821983172,1
2001-12-12,-0.027502086411431564,-0.020936498129535783,-0.014426866654544254,-0.011466928933091524,-0.020834634067337803,1
2001-12-13,-5.751706156267739e-05,0.0013869065705743068,0.002886426277807597,0.0027733073569862774,0.003784903755263865,1
2001-12-14,0.006976968637323666,0.011084043758363806,0.010475280727588961,0.011808582562380272,0.014870580176830121,1
2001-12-17,0.01618265222376058,0.012934177506985006,0.011948533518061319,0.013974682281965361,0.014052936395050345,1
2001-12-18,-0.007260342191328532,-0.004459205063505419,0.0005575368327010433,-0.0008556891473128747,-0.00884374844974467,1
2001-12-19,-0.019598007262159368,-0.016334661156981237,-0.012657099214908079,-0.015405863987001818,-0.029119973262116752,1
2001-12-20,0.025683598854225897,0.020347094182751265,0.01345643411691148,0.01429916347291968,0.016811814345758246,1
2001-12-21,0.0018125974647578394,0.003201889629912497,0.002700833368280717,0.0037711030031670656,0.0019759891699073122,1
2001-12-24,0.01757187458739867,0.010309388087766658,0.010086063526169092,0.01194242684891532,0.011227383267843082,1
2001-12-26,0.02036886037487688,0.012929300161868829,0.0069223713056500566,0.003940705613678016,0.0051469464994456544,1
2001-12-27,0.012101955430838772,0.007987513504853848,0.004366334342179888,0.0023835643440847224,0.0019141373212017139,1
2001-12-28,-0.0025914786198144493,-0.00868835552451107,-0.008929170533140973,-0.0075397353947869155,-0.012324032593478345,1
2001-12-31,0.009282673695499418,0.005506235246373924,-0.0005057747118952234,-0.007021344648235564,-0.002558907695787268,1
2002-01-02,0.024507571676395817,0.02189973233445184,0.01346558874989645,0.013025836326932539,0.024112654719105727,1
2002-01-03,0.015546997205815628,0.010832050649239878,0.008691953902348228,0.010713817433400757,0.014415308715198003,1
2002-01-04,-0.010530604113542072,-0.007843829029544327,-0.006502039656837796,-0.0067776600808290045,-0.009478763570837002,1
2002-01-07,0.002520963816517389,0.005348096160198293,0.003177967543887297,0.0020682864751255595,0.007079246235669461,1
2002-01-08,-0.00820349612235306,-0.004778788678719968,-0.0020197175013136085,-0.004890809038745774,-0.002924523083050279,1
