strategy,rebalance_date,next_rebalance_date,outgoing_symbol,incoming_symbol,outgoing_prior_rank,outgoing_current_rank,incoming_current_rank,rank_gap,outgoing_rank_deterioration,outgoing_score,incoming_score,score_spread,score_percentile_spread,outgoing_return_20d,incoming_return_20d,outgoing_return_60d,incoming_return_60d,outgoing_acceleration,incoming_acceleration,outgoing_unrealized_return,outgoing_holding_sessions,outgoing_mfe_to_date,outgoing_mae_to_date,outgoing_giveback,outgoing_recovery_from_mae,outgoing_currently_profitable,incoming_drawdown_from_60d_high,incoming_distance_from_189d_high,outgoing_subsequent_return,incoming_subsequent_return,replacement_advantage,outgoing_future_mfe,outgoing_future_mae,outgoing_future_max_drawdown,incoming_future_mfe,incoming_future_mae,incoming_future_max_drawdown
Market-Residual Momentum,2022-09-01,2022-10-03,JNJ,AMGN,5,6,2,4,1,-0.007661704470644404,-0.006200219657991668,0.0014614848126527358,0.1428571428571429,-0.06968300750912104,-0.020167818455217312,-0.07922862002415354,-0.013381100791407419,-0.04327346750106986,-0.015707451524748173,-0.07172669015278665,259,0.05628243949993261,-0.12017859617840398,0.12800912965271927,0.04845190602561733,False,-0.043429910412339234,-0.05680556766680733,0.017338090872416334,-0.0532928890746317,-0.07063097994704803,0.03826839760309464,-0.004211004204361379,-0.026431741576926404,0.03363487086508865,-0.07390498011730295,-0.09378672407295596
Market-Residual Momentum,2022-10-03,2022-11-01,HON,KO,3,6,4,2,3,-0.00636789734184362,-0.006331141663610151,3.6755678233468814e-05,0.07142857142857151,-0.12457402765404202,-0.08986389561096075,-0.03733360097573446,-0.10302924787760814,-0.11212949399546386,-0.05552081298509137,-0.13902713571419545,126,0.05362438584579077,-0.13902713571419545,0.19265152155998622,0.0,False,-0.1347986699273377,-0.14157788535403126,0.2021522506359139,0.06511730178297737,-0.13703494885293654,0.20632692973209066,-0.005821075539283682,-0.03804916466895414,0.08073109391852507,-0.04151861199539819,-0.042092323245041974
Market-Residual Momentum,2022-10-03,2022-11-01,AMGN,JNJ,2,7,5,2,5,-0.007246594956585195,-0.006360570935432297,0.000886024021152898,0.07142857142857151,-0.08187369765543562,-0.011975664095796312,-0.08196312610648548,-0.07866892837465278,-0.05455265561994045,0.014247312029087949,-0.06519570425487464,21,0.027248036259573727,-0.06909419187158872,0.09244374051444837,0.0038984876167140747,False,-0.07789406289151646,-0.11018551634548923,0.1810576900863421,0.059468109916486434,-0.12158958016985566,0.20269852373640962,-0.008104464313705706,-0.021666046612895506,0.06756364107809065,-0.031164265181433115,-0.03272552592871203
Market-Residual Momentum,2022-11-01,2022-12-01,KO,HON,4,6,4,2,2,-0.006649113240127402,-0.006174179477406949,0.00047493376272045307,0.07142857142857151,0.05648728675597425,0.1790337418496708,-0.04881107360065706,0.06322066315605857,0.07275764462285994,0.15796018746431795,0.06192345206974759,21,0.07806960461367085,-0.034953689988957204,0.016146152543923264,0.09687714205870479,True,-0.004440600684904261,-0.00455082129579798,0.06715196740211127,0.08595194138712015,0.018799973985008878,0.06832631789403143,-0.03215061392195995,-0.02098952134986043,0.08930437151476589,-0.02582565131555581,-0.019450269102081363
Market-Residual Momentum,2022-12-01,2023-01-03,MSFT,KO,3,7,1,6,4,-0.007405557969451637,-0.004409862924465657,0.00299569504498598,0.2142857142857143,0.12135265753795021,0.07413031643950907,0.010302054526076576,0.05472697263749571,0.11791863936259135,0.055887992227010505,-0.16928174803153107,168,0.018101052616851687,-0.3043772078891519,0.18738280064838275,0.13509545985762084,False,0.0,-0.018359708637901928,-0.0425018458110582,-0.0007861067075355388,0.041715739103522664,0.03958729083527146,-0.07878032475926455,-0.08821246532758631,0.01713551431375926,-0.020122649700158646,-0.02486400882356543
Market-Residual Momentum,2022-12-01,2023-01-03,AAPL,CSCO,5,8,4,4,3,-0.00765499585778584,-0.006130110928728172,0.0015248849290576683,0.1428571428571429,-0.015761273029314182,0.09370906615012364,-0.04047394164582918,0.1284424475339534,-0.0022699591473711225,0.05089491697213918,-0.00946261691102579,127,0.16606057370028227,-0.13235487343586705,0.17552319061130806,0.12289225652484126,False,0.0,-0.09785439560923959,-0.1209771692685161,-0.04049745847024777,0.08047971079826832,0.018284727780997656,-0.15073213158527743,-0.15015847404148497,0.016639703252920413,-0.06395387372802952,-0.05803498276937036
Market-Residual Momentum,2023-02-01,2023-03-01,HON,IBM,3,6,3,3,3,-0.00596010552274806,-0.0053042269234321315,0.0006558785993159288,0.1071428571428572,-0.03006855555818677,-0.04372215430652315,0.04192245762835567,-0.0036076490845053932,-0.044042708100971995,-0.04251960461168802,0.024704835707259454,62,0.08481812742343986,-0.016524859211008103,0.060113291716180406,0.041229694918267557,True,-0.10520046055568955,-0.10520046055568955,-0.07326202329381082,-0.029791633602742507,0.04347038969106831,0.005014174489491374,-0.08088119240201197,-0.07326202329381082,0.034111195872226,-0.030092701886636153,-0.061521745916401915
Market-Residual Momentum,2023-02-01,2023-03-01,MCD,AXP,5,7,5,2,2,-0.006261332609325598,-0.005748659667536682,0.0005126729417889164,0.07142857142857151,0.014685062830605444,0.18806316979630489,-0.005415178129595355,0.22324992477963557,0.01649012220713723,0.11364652820309303,0.15431209017308167,363,0.19506651310280754,-0.057449040162911524,0.040754422929725864,0.2117611303359932,True,0.0,-0.005365903266264183,-0.011100848242666106,0.0007498435486554822,0.011850691791321588,0.012957531579084192,-0.02557883171502162,-0.027097844131217963,0.05058242610383257,-0.013265881824420012,-0.044283955565107114
Market-Residual Momentum,2023-03-01,2023-04-03,CSCO,PG,4,6,2,4,2,-0.006089689146158261,-0.004352822733076356,0.0017368664130819056,0.1428571428571429,0.0041476225035055325,-0.02446632509702107,-0.018365616722537004,-0.07198215186727785,0.0102694947443512,-0.00047227447459511837,-0.021514361568688023,60,0.030420976128664012,-0.061122464939877164,0.051935337697352035,0.03960810337118914,False,-0.10085612671108124,-0.10085612671108124,0.07473161674923201,0.07518982232378613,0.0004582055745541158,0.08071859807924087,-0.008670482676556679,-0.0290539575377895,0.07707342947821116,-0.014125332522406775,-0.031074707012887948
Market-Residual Momentum,2023-03-01,2023-04-03,IBM,V,3,9,4,5,6,-0.00687358238237612,-0.0056633073452001526,0.0012102750371759674,0.1785714285714286,-0.03260723242087382,-0.03810230827111005,-0.12096537761511761,0.015533519047791433,0.007714560117498714,-0.043280147953707195,-0.026780864284115857,19,0.0338101731985716,-0.026780864284115857,0.06059103748268746,0.0,False,-0.047827609563201756,-0.047827609563201756,0.016058939461194965,0.026291650509159714,0.010232711047964749,0.02001542952954871,-0.055779748320014644,-0.053076321919015235,0.036270682794465436,-0.048756113502059883,-0.05415642979318924
